year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1980,1474,456,160.5552,327.0347,159.0,165.0,233.0,443.02499999999964
1981,1484,457,149.654,326.9359,148.0,154.0,233.0,443.02499999999964
1982,1485,461,144.5618,327.0281,143.0,148.0,233.0,444.0
1983,1476,472,141.7801,327.8098,141.0,145.0,234.0,445.0
1985,1475,475,139.6204,327.9695,139.0,142.0,234.0,445.0
1989,1475,476,138.6029,327.987,138.0,141.0,234.0,445.0
1992,1492,477,120.5893,328.0006,120.0,123.0,234.0,445.0
1993,1493,479,117.5363,328.0536,117.0,120.0,234.0,445.0
1994,1497,481,111.4772,328.1127,111.0,114.0,234.0,445.0
1995,1498,482,109.4832,328.1067,109.0,112.0,234.0,445.0
1996,1509,484,96.4475,328.1424,96.0,99.0,234.0,445.0
1997,1510,486,93.437,328.1529,93.0,95.0,234.0,445.0
1998,1509,490,90.3173,328.2726,90.0,92.0,234.0,445.0
2001,1514,491,84.3145,328.2754,84.0,86.0,234.0,445.0
2002,1518,492,79.336,328.2539,79.0,81.0,234.0,445.0
2003,1527,493,69.3969,328.193,69.0,71.0,234.0,445.0
2004,1527,497,65.4074,328.1825,65.0,67.0,234.0,445.0
2007,1541,499,49.584,328.0059,49.0,51.0,234.0,445.0
2015,1589,501,0.0,327.5899,0.0,0.0,233.97500000000002,444.0
