year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1928,1429,304,564.2458,3849.996,506.0,633.0,2686.0,5422.025
1929,1428,307,555.3004,3856.9414,498.0,622.0,2692.0,5426.049999999999
1930,1428,310,545.5084,3863.7334,490.0,612.0,2698.9750000000004,5432.025
1931,1426,314,534.7335,3872.5083,481.0,598.0,2704.95,5442.049999999999
1932,1437,315,520.1784,3875.0634,467.0,582.0,2706.9750000000004,5447.0
1933,1439,323,494.1603,3891.0815,444.0,553.0,2720.975,5465.049999999999
1935,1437,330,475.833,3904.4088,428.0,531.0,2732.0,5478.049999999999
1936,1442,331,467.6538,3906.588,421.0,522.0,2735.95,5479.0
1937,1448,334,452.8958,3912.346,407.0,507.0,2740.975,5486.049999999999
1938,1458,336,437.1295,3916.1123,392.0,490.0,2743.0,5488.0999999999985
1939,1460,340,424.2979,3922.9439,381.0,475.0,2750.9750000000004,5498.049999999999
1940,1474,342,404.8982,3926.3436,363.0,455.0,2753.0,5503.0
1941,1478,347,388.2363,3934.0055,348.0,437.0,2760.975,5513.025
1942,1474,351,382.2993,3939.9425,343.0,429.0,2765.0,5521.0
1943,1476,352,377.7391,3941.5027,339.0,424.0,2768.0,5520.025
1944,1473,356,370.9641,3947.2777,334.0,415.0,2770.9750000000004,5526.074999999999
1948,1475,358,364.022,3950.2198,327.0,408.0,2775.0,5530.049999999999
1949,1479,362,350.5372,3955.7046,315.0,393.0,2778.9750000000004,5537.025
1950,1482,368,333.6996,3963.5422,300.0,374.0,2789.0,5548.0
1951,1484,372,322.7869,3968.4549,290.0,361.02499999999964,2791.95,5553.0
1952,1479,377,316.7821,3974.4597,286.0,354.0,2795.975,5559.025
1953,1494,379,297.3312,3976.9106,267.0,334.0,2798.9750000000004,5562.049999999999
1954,1487,393,275.6572,3991.5846,249.0,308.0,2809.975,5579.074999999999
1955,1493,399,257.6853,3997.5565,232.0,289.0,2815.0,5585.074999999999
1956,1490,404,250.9737,4002.2681,227.0,280.0,2819.975,5590.0
1957,1493,407,242.2487,4004.9931,219.0,271.0,2823.0,5594.025
1958,1491,412,234.8916,4009.3502,213.0,263.0,2829.0,5598.0
1959,1492,413,232.0735,4010.1683,210.0,259.0,2828.0,5598.025
1960,1489,417,227.7666,4013.4752,207.0,254.0,2831.95,5597.174999999997
1961,1492,418,222.9576,4014.2842,202.0,248.0,2832.975,5602.025
1962,1489,421,220.5806,4016.6612,200.0,245.0,2833.975,5606.074999999999
1963,1489,422,218.8025,4017.4393,199.0,243.0,2833.0,5608.025
1964,1487,424,217.2574,4018.9844,198.0,241.0,2834.9750000000004,5609.0
1965,1489,425,213.563,4019.6788,194.0,237.0,2834.9750000000004,5610.025
1966,1485,431,206.9992,4024.2426,189.0,229.0,2838.0,5616.025
1967,1484,433,204.5287,4025.7131,187.0,225.0,2841.975,5617.0
1968,1483,434,203.8299,4026.4119,187.0,224.0,2842.0,5617.0
1969,1485,435,200.1811,4027.0607,184.0,220.0,2842.9750000000004,5618.0
1970,1484,438,196.1252,4029.1166,180.0,215.0,2845.9750000000004,5621.049999999999
1973,1481,444,188.9962,4033.2456,175.0,207.0,2846.9750000000004,5626.0999999999985
1974,1481,445,187.3694,4033.8724,173.0,205.0,2848.925,5626.0999999999985
1975,1479,447,186.1309,4035.1109,173.0,203.0,2847.95,5630.0
1976,1479,449,182.9091,4036.3327,170.0,199.0,2849.9249999999997,5631.0
1977,1477,452,180.0225,4038.2193,168.0,196.0,2850.9750000000004,5631.025
1978,1476,454,177.8356,4039.4062,166.0,193.0,2854.9500000000003,5633.0
1980,1474,456,176.6253,4040.6165,165.0,191.0,2855.0,5634.074999999999
1981,1484,457,165.1321,4041.1097,154.0,179.0,2854.0,5636.0
1982,1485,461,157.9408,4043.301,148.0,171.0,2855.975,5636.025
1983,1476,472,149.8855,4049.3563,142.0,160.0,2863.975,5642.049999999999
1985,1475,475,146.3825,4050.8593,140.0,156.0,2866.9750000000004,5644.074999999999
1989,1475,476,144.9122,4051.3296,139.0,154.0,2867.0,5644.124999999998
1992,1492,477,126.4789,4051.7629,121.0,135.0,2867.0,5645.074999999999
1993,1493,479,122.7394,4052.5024,117.0,131.0,2868.0,5646.074999999999
1994,1497,481,115.9801,4053.2617,111.0,124.0,2868.0,5645.0999999999985
1995,1498,482,113.6999,4053.5419,109.0,121.0,2868.0,5645.0999999999985
1996,1509,484,100.0568,4054.185,96.0,107.0,2868.975,5646.124999999998
1997,1510,486,96.5541,4054.6877,93.0,103.0,2869.9750000000004,5646.0999999999985
1998,1509,490,92.3692,4055.8726,90.0,98.0,2872.0,5650.0
2001,1514,491,86.1519,4056.0899,84.0,91.0,2872.0,5651.0
2002,1518,492,80.9764,4056.2654,79.0,86.0,2872.0,5650.025
2003,1527,493,70.8942,4056.3476,69.0,75.0,2872.0,5650.025
2004,1527,497,66.1631,4057.0787,65.0,69.0,2872.975,5651.025
2007,1541,499,49.953,4057.2888,49.0,52.0,2873.0,5652.0
2015,1589,501,0.0,4057.2418,0.0,0.0,2872.975,5651.025
