year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1822,183,0,5964.2418,0.0,4779.975,7558.025,0.0,0.0
1829,182,7,4829.3142,1128.9276,4063.975,5820.025,444.0,2183.0
1836,221,8,4581.5245,1336.7173,3903.975,5461.0,557.975,2519.0249999999996
1840,245,11,4181.0566,1710.1852,3639.0,4849.0,805.975,3022.0
1867,329,12,3958.9079,1847.3339,3471.0,4550.0,907.975,3212.0
1879,352,13,3838.911,1943.3308,3387.0,4378.0,973.9250000000001,3325.0499999999993
1882,429,14,3673.6437,2030.5981,3249.0,4189.0,1036.0,3445.0249999999996
1883,442,15,3592.2334,2098.0084,3192.0,4075.0,1094.0,3527.0
1884,684,16,3283.2178,2164.024,2896.0,3738.0249999999996,1137.95,3600.0999999999985
1885,729,19,3145.9934,2253.2484,2775.975,3582.0249999999996,1218.9750000000001,3697.0999999999985
1887,756,20,3083.379,2287.8628,2721.95,3504.0249999999996,1250.9750000000001,3737.0499999999993
1889,984,23,2776.1405,2364.1013,2433.975,3174.0,1319.975,3812.074999999999
1890,1137,30,2504.6585,2475.5833,2188.0,2879.0,1422.0,3929.0249999999996
1891,1194,39,2328.7671,2585.4747,2033.0,2680.0,1523.0,4051.0499999999993
1892,1282,57,2038.7042,2769.5376,1775.0,2349.0,1693.0,4243.074999999999
1893,1335,77,1799.6923,2935.5495,1567.0,2074.0,1845.0,4427.0
1894,1452,94,1544.56,3056.6818,1332.0,1791.0,1953.0,4566.049999999999
1895,1425,131,1339.372,3251.8698,1164.0,1540.0,2133.0,4777.0
1896,1435,136,1296.993,3279.2488,1127.0,1492.0249999999996,2157.9500000000003,4802.025
1897,1437,142,1257.9859,3310.2559,1093.0,1446.0,2194.925,4839.0
1898,1447,149,1206.34,3344.9018,1051.0,1389.0,2220.95,4875.025
1899,1456,159,1141.2471,3390.9947,994.0,1314.0,2259.0,4926.0
1900,1489,169,1054.9174,3434.3244,914.0,1217.0249999999996,2303.0,4967.025
1901,1454,206,922.8213,3564.4205,806.0,1057.0,2425.975,5111.0
1902,1452,209,910.2902,3575.9516,796.0,1041.0,2435.0,5121.025
1903,1454,210,902.7292,3580.5126,788.0,1032.0,2438.9750000000004,5127.025
1904,1466,215,867.9743,3598.2675,758.0,994.0,2455.975,5143.049999999999
1905,1461,222,842.7626,3621.4792,738.0,964.0,2475.95,5165.025
1906,1465,224,829.445,3628.7968,726.0,947.0,2485.925,5171.049999999999
1907,1458,233,799.1614,3657.0804,701.0,913.0,2508.95,5206.049999999999
1908,1455,241,769.6192,3681.6226,678.0,877.0,2526.9500000000003,5233.025
1909,1452,248,744.8034,3702.4384,656.0,846.0,2547.8,5252.0999999999985
1910,1446,259,709.1171,3733.1247,626.0,805.0,2576.975,5288.049999999999
1911,1443,263,696.7187,3744.5231,616.0,790.0,2583.975,5298.049999999999
1913,1438,268,682.896,3758.3458,605.0,772.0,2597.9500000000003,5317.0
1914,1437,269,679.5007,3761.7411,603.0,768.0,2601.0,5320.025
1917,1442,272,663.0496,3770.1922,589.0,750.0,2607.975,5333.0
1918,1444,276,646.2738,3780.968,574.0,731.0,2617.9249999999997,5344.0
1919,1433,288,616.3652,3809.8766,549.0,694.0249999999996,2645.9750000000004,5381.0
1920,1433,289,612.329,3812.9128,547.0,690.0,2647.975,5384.0
1921,1436,290,605.3679,3815.8739,540.0,683.0,2651.0,5386.0
1924,1439,291,598.3543,3818.8875,534.0,674.0249999999996,2654.0,5388.0
1925,1432,300,575.9339,3839.3079,515.0,647.0,2675.975,5410.025
1926,1431,301,573.0809,3842.1609,512.0,643.0,2677.9500000000003,5417.025
1927,1430,303,567.0465,3847.1953,508.0,636.0,2683.975,5421.025
