no. in part 3,species name,author names with var. and ssp.,phylum: family,life form,status,if cultivated,synonyms
1,Flickingeria laciniosa, (Ridl.) Hawkes, Magnoliophyta: Orchidaceae, epiphyte,globally extinct,,
2,Strychnos ridleyi, King & Gamble, Magnoliophyta: Loganiaceae, epiphyte,globally extinct,,
3,Thunbergia dasychlamys, Bremek., Magnoliophyta: Acanthaceae, climber,globally extinct,,
4,Acacia concinna, (Willd.) DC., Magnoliophyta: Fabaceae, climber,extinct,,
5,Acacia kekapur, I. Niels., Magnoliophyta: Fabaceae, climber,extinct,,
6,Acriopsis ridleyi, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
7,Actinodaphne macrophylla, (Blume) Nees, Magnoliophyta: Lauraceae, tree,extinct,,
8,Adenoncos major, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
9,Adenoncos sumatrana, J.J. Sm., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
10,Adiantum hispidulum, Sw., Filicinophyta: Adiantaceae, herb,extinct, cultivated,
11,Adiantum stenochlamys, Baker, Filicinophyta: Adiantaceae, herb,extinct,,
12,Adinandra integerrima, T. Anders. ex Dyer, Magnoliophyta: Pentaphylacaceae, tree,extinct,,
13,Aeschynanthus parvifolius, R. Br., Magnoliophyta: Gesneriaceae, epiphyte,extinct, cultivated, =A.  lobbianus Hook.
14,Aeschynanthus radicans, Jack, Magnoliophyta: Gesneriaceae, epiphyte,extinct,,
15,Aglaia elliptica, Blume, Magnoliophyta: Meliaceae, tree,extinct,,
16,Aglaia macrocarpa, (Miq.) Pannell, Magnoliophyta: Meliaceae, tree,extinct,,
17,Aglaia multinervis, Pannell, Magnoliophyta: Meliaceae, tree,extinct,,
18,Aglaia oligophylla, Miq., Magnoliophyta: Meliaceae, tree,extinct,,
19,Aglaia palembanica, Miq., Magnoliophyta: Meliaceae, tree,extinct,,
20,Aglaia tenuicaulis, Hiern, Magnoliophyta: Meliaceae, tree,extinct,,
21,Aglaia tomentosa, Teijsm. & Binn., Magnoliophyta: Meliaceae, tree,extinct,,
22,Aglaodorum griffithii, (Schott) Schott, Magnoliophyta: Araceae, climber,extinct,,
23,Aglaomorpha speciosa, (Blume) Roos, Filicinophyta: Polypodiaceae, epiphyte,extinct,,
24,Agrostistachys gaudichaudii, Müll. Arg., Magnoliophyta: Euphorbiaceae, tree,extinct,,
25,Agrostophyllum majus, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
26,Agrostophyllum stipulatum, (Griff.) Schltr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
27,Agrostophyllum stipulatum, (Griff.) Schltr. ssp. bicuspidatum (J.J.Sm.) Schuit., Magnoliophyta: Orchidaceae, epiphyte,extinct,, =A. bicuspidatum J.J. Sm.
28,Alangium ridleyi, King, Magnoliophyta: Cornaceae, tree,extinct, cultivated,
29,Albizia retusa, Benth., Magnoliophyta: Fabaceae, tree,extinct, cultivated,
30,Alchornea rugosa, (Lour.) Müll. Arg., Magnoliophyta: Euphorbiaceae, shrub,extinct,,
31,Alpinia conchigera, Griff., Magnoliophyta: Zingiberaceae, herb,extinct,,
32,Alpinia mutica, Roxb., Magnoliophyta: Zingiberaceae, herb,extinct,,
33,Alpinia rafflesiana, Wall. in Baker, Magnoliophyta: Zingiberaceae, herb,extinct,,
34,Alseodaphne nigrescens, (Gamble) Kostermans, Magnoliophyta: Lauraceae, tree,extinct,,
35,Alyxia pilosa, Miq., Magnoliophyta: Apocynaceae, climber,extinct,,
36,Amomum hastilabium, Ridl., Magnoliophyta: Zingiberaceae, herb,extinct,,
37,Ampelocissus ascendiflora, Latiff, Magnoliophyta: Vitaceae, climber,extinct,,
38,Ampelocissus cinnamomea, (Wall.) Planch., Magnoliophyta: Vitaceae, climber,extinct,,
39,Ampelocissus thyrsiflora, (Blume) Planch., Magnoliophyta: Vitaceae, climber,extinct,,
40,Amylotheca duthieana, (King) Danser, Magnoliophyta: Loranthaceae, epiphyte,extinct,,
41,Anacolosa frutescens, (Blume) Blume, Magnoliophyta: Olacaceae, tree,extinct,,
42,Anathallis acuminata, (Kunth) Pridgeon & M.W.Chase, Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Dendrobium acuminatum Kunth
43,Anisoptera costata, Korth., Magnoliophyta: Dipterocarpaceae, tree,extinct,,
44,Anoectochilus geniculatus, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
45,Antrophyum parvulum, Blume, Filicinophyta: Vittariaceae, epiphyte,extinct,,
46,Aphanamixis sumatrana, (Miq.) Ridl., Magnoliophyta: Meliaceae, tree,extinct,,
47,Aphyllorchis pallida, Blume, Magnoliophyta: Orchidaceae, herb,extinct,,
48,Aporosa penangensis, (Ridl.) Airy Shaw, Magnoliophyta: Phyllanthaceae, tree,extinct,,
49,Appendicula anceps, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
50,Appendicula cornuta, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
51,Appendicula lucida, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
52,Appendicula uncata, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
53,Aquilaria hirta, Ridl., Magnoliophyta: Thymelaeaceae, tree,extinct,,
54,Aralidium pinnatifidum, (Jungh. & de Vr.) Miq., Magnoliophyta: Torricelliaceae, tree,extinct, cultivated,
55,Ardisia crassa, C. B. Clarke, Magnoliophyta: Myrsinaceae, shrub,extinct,,
56,Ardisia ridleyi, King & Gamble, Magnoliophyta: Myrsinaceae, shrub,extinct,,
57,Ardisia sessilis, Scheff., Magnoliophyta: Myrsinaceae, shrub,extinct,,
58,Ardisia singaporensis, Ridl., Magnoliophyta: Myrsinaceae, shrub,extinct,,
59,Aristolochia jackii, Steud., Magnoliophyta: Aristolochiaceae, climber,extinct,,
60,Artocarpus maingayi, King, Magnoliophyta: Moraceae, tree,extinct,,
61,Asplenium macrophyllum, Sw., Filicinophyta: Aspleniaceae, epiphyte,extinct,,
62,Asplenium nitidum, Sw., Filicinophyta: Aspleniaceae, epiphyte,extinct,,
63,Austrobuxus nitidus, Miq., Magnoliophyta: Picrodendraceae, tree,extinct,,
64,Baccaurea lanceolata, (Miq.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,extinct,,
65,Baccaurea macrophylla, (Müll. Arg.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,extinct,,
66,Baccaurea pubera, (Miq.) Müll. Arg., Magnoliophyta: Phyllanthaceae, tree,extinct,, =B. latifolia King ex Hook. f.
67,Baccaurea pyriformis, Gage, Magnoliophyta: Phyllanthaceae, tree,extinct,,
68,Baratranthus axanthus, (Korth.) Miq., Magnoliophyta: Loranthaceae, epiphyte,extinct,,
69,Barringtonia conoidea, Griff., Magnoliophyta: Lecythidaceae, tree,extinct,,
70,Biermannia laciniata, (Carr) Gary, Magnoliophyta: Orchidaceae, herb,extinct,,
71,Blumea junghuhniana, (Miq.) Boerl., Magnoliophyta: Asteraceae, herb,extinct,,
72,Bolbitis sinuata, (C. Presl) Henn., Filicinophyta: Lomariopsidaceae, epiphyte,extinct,,
73,Bridelia cinnamomea, Hook. f., Magnoliophyta: Phyllanthaceae, climber,extinct,, =B. griffithii Hook.f.
74,Bromheadia alticola, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
75,Bromheadia aporoides, Rchb. f., Magnoliophyta: Orchidaceae, herb,extinct,,
76,Bromheadia borneensis, J. J. Sm, Magnoliophyta: Orchidaceae, herb,extinct,,
77,Bromheadia scirpoidea, Ridl., Magnoliophyta: Orchidaceae, herb,extinct,,
78,Bromheadia truncata, Seidenf., Magnoliophyta: Orchidaceae, herb,extinct,,
79,Brownlowia argentata, Kurz, Magnoliophyta: Malvaceae, shrub,extinct,,
80,Bryobium hyacinthoides, (Blume) Y. P. Ng & P. J. Cribb, Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Eria hyacinthoides (Blume) Lindl.
81,Bryobium pudicum, (Ridl.) Y. P. Ng & P. J. Cribb, Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Eria pudica Ridl.
82,Bulbophyllum aberrans, Schltr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
83,Bulbophyllum acuminatum, (Ridl.) Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
84,Bulbophyllum blumei, (Lindl.) J. J. Sm., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
85,Bulbophyllum botryophorum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
86,Bulbophyllum caudatisepalum, Ames & Schweinf., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
87,Bulbophyllum cleistogamum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
88,Bulbophyllum concinnum, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
89,Bulbophyllum flavescens, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
90,Bulbophyllum gracillimum, (Rolfe) Rolfe, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
91,Bulbophyllum lasianthum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
92,Bulbophyllum limbatum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
93,Bulbophyllum lobbii, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
94,Bulbophyllum macrochilum, Rolfe, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
95,Bulbophyllum makoyanum, (Rchb. f.) Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Cirrhopetalum makoyanum Rchb.f.
96,Bulbophyllum medusae, (Lindl.) Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
97,Bulbophyllum nigropurpureum, Carr, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
98,Bulbophyllum ovalifolium, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
99,Bulbophyllum patens, King ex Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
100,Bulbophyllum pileatum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
101,Bulbophyllum pulchellum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,, =Cirrhopetalum concinnum Hook.f.
102,Bulbophyllum purpurascens, Teijsm & Binnend., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
103,Bulbophyllum restrepia, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
104,Bulbophyllum ruficaudatum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
105,Bulbophyllum rugosum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
106,Bulbophyllum singaporeanum, Schltr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
107,Bulbophyllum striatellum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
108,Bulbophyllum tenuifolium, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
109,Bulbophyllum uniflorum, (Blume) Hassk., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
110,Bulbophyllum vermiculare, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
111,Bulbophyllum vesiculosum, J.J. Sm, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
112,Caesalpinia tortuosa, Roxb., Magnoliophyta: Fabaceae, climber,extinct,,
113,Calamus densiflorus, Becc., Magnoliophyta: Arecaceae, climber,extinct,,
114,Calamus javensis, Blume, Magnoliophyta: Arecaceae, climber,extinct,,
115,Calamus luridus, Becc., Magnoliophyta: Arecaceae, climber,extinct,,
116,Calamus ornatus, Becc., Magnoliophyta: Arecaceae, climber,extinct,,
117,Callerya dasyphylla, (Miq.) Schot, Magnoliophyta: Fabaceae, climber,extinct,,
118,Callicarpa maingayi, King & Gamble, Magnoliophyta: Lamiaceae, tree,extinct,,
119,Calophyllum biflorum, Hend. & Wyatt-Smith, Magnoliophyta: Clusiaceae, tree,extinct,,
120,Calophyllum calaba, L. var. bracteatum (Wight) P. F. Stevens, Magnoliophyta: Clusiaceae, tree,extinct,,
121,Calophyllum costulatum, Hend. & Wyatt-Smith, Magnoliophyta: Clusiaceae, tree,extinct,,
122,Canthium molle, King & Gamble, Magnoliophyta: Rubiaceae, climber,extinct,,
123,Cantleya corniculata, (Becc.) Howard, Magnoliophyta: Stemonuraceae, tree,extinct,,
124,Casearia clarkei, King var. clarkei, Magnoliophyta: Salicaceae, tree,extinct,,
125,Casearia tuberculata, Blume, Magnoliophyta: Salicaceae, tree,extinct,,
126,Castanopsis javanica, (Blume) A. DC., Magnoliophyta: Fagaceae, tree,extinct,,
127,Cephalomanes superbum, (Backh. ex T. Moore) I.M. Turner, Filicinophyta: Hymenophyllaceae, herb,extinct,,
128,Ceratolobus subangulatus, (Miq.) Becc., Magnoliophyta: Arecaceae, climber,extinct,,
129,Ceratostylis subulata, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
130,Chassalia pubescens, Ridl., Magnoliophyta: Rubiaceae, shrub,extinct,,
131,Cheilocostus globosus, (Blume) C. Specht, Magnoliophyta: Costaceae, herb,extinct,, =Costus globosus Blume var. ridleyi (K. Schum.) Holttum
132,Cheilosa montana, Blume, Magnoliophyta: Euphorbiaceae, tree,extinct,,
133,Chilocarpus vernicosus, Blume, Magnoliophyta: Apocynaceae, climber,extinct,,
134,Chionanthus macrocarpus, Blume, Magnoliophyta: Oleaceae, tree,extinct,,
135,Chisocheton macrophyllus, King, Magnoliophyta: Meliaceae, tree,extinct, cultivated,
136,Chisocheton pauciflorus, King, Magnoliophyta: Meliaceae, tree,extinct,,
137,Cinnamomum subavenium, Miq., Magnoliophyta: Lauraceae, tree,extinct,,
138,Claoxylon longifolium, (Blume) Endl. ex Hassk., Magnoliophyta: Euphorbiaceae, tree,extinct, cultivated,
139,Cleisostoma halophilum, (Ridl.) Garay, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
140,Cleisostoma scortechinii, (Hook. f.) Gary, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
141,Cleisostoma subulatum, Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
142,Cleistanthus hirsutulus, Hook. f., Magnoliophyta: Phyllanthaceae, tree,extinct,,
143,Cleistanthus malaccensis, Hook. f., Magnoliophyta: Phyllanthaceae, tree,extinct, cultivated,
144,Clerodendrum phyllomega, Steud. var. myrmecophilum (Ridl.) Moldenke, Magnoliophyta: Lamiaceae, shrub,extinct,,
145,Cocculus orbiculatus, (L.) DC., Magnoliophyta: Menispermaceae, climber,extinct,,
146,Coelogyne cumingii, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
147,Coelogyne foerstermannii, Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
148,Coelogyne mayeriana, Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
149,Coelogyne rochussenii, de Vr., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
150,Coelogyne septemcostata, J.J. Sm., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
151,Coelogyne testacea, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
152,Coelogyne tomentosa, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
153,Commelina attenuata, Koen., Magnoliophyta: Commelinaceae, climber,extinct,,
154,Connarus planchonianus, Schellenb., Magnoliophyta: Connaraceae, climber,extinct,,
155,Coptosapelta flavescens, (Blume) Val. ex K. Heyne, Magnoliophyta: Rubiaceae, climber,extinct,, =C.  tomentosa Valeton ex K. Heyne
156,Coptosapelta griffithii, Hook. f., Magnoliophyta: Rubiaceae, climber,extinct,,
157,Coptosapelta parviflora, Ridl., Magnoliophyta: Rubiaceae, climber,extinct,,
158,Cordiglottis filiformis, (Hook. f.) Gary, Magnoliophyta: Orchidaceae, herb,extinct,,
159,Corymborkis veratrifolia, (Reinw.) Blume, Magnoliophyta: Orchidaceae, herb,extinct,,
160,Crepidomanes christii, (Copel.) Copel., Filicinophyta: Hymenophyllaceae, epiphyte,extinct,,
161,Crepidomanes minutum, (Blume) K. Iwatsuki, Filicinophyta: Hymenophyllaceae, epiphyte,extinct,,
162,Crepidomanes pallidum, (Blume) K. Iwatsuki, Filicinophyta: Hymenophyllaceae, epiphyte,extinct,,
163,Croton argyratus, Blume, Magnoliophyta: Euphorbiaceae, tree,extinct, cultivated,
164,Cryptocarya caesia, Blume, Magnoliophyta: Lauraceae, tree,extinct,,
165,Cryptocarya kurzii, Hook. f., Magnoliophyta: Lauraceae, tree,extinct,,
166,Cryptocoryne ciliata, (Roxb.) Fischer ex Wydler, Magnoliophyta: Araceae, herb,extinct,,
167,Cryptostylis arachnites, (Blume) Hassk., Magnoliophyta: Orchidaceae, herb,extinct,,
168,Ctenopteris blechnoides, (Grev.) Wagner & Grether, Filicinophyta: Grammitidaceae, epiphyte,extinct,,
169,Cyathea glabra, (Blume) Copel., Filicinophyta: Cyatheaceae, tree,extinct,,
170,Cyathostemma hookeri, King, Magnoliophyta: Annonaceae, climber,extinct,,
171,Cymodocea serrulata, (R.Br.) Aschers. & Magnus, Magnoliophyta: Cymodoceaceae, herb,extinct,,
172,Cyrtostachys renda, Blume, Magnoliophyta: Arecaceae, shrub,extinct, cultivated,
173,Cystorchis variegata, Blume, Magnoliophyta: Orchidaceae, herb,extinct,,
174,Daemonorops lewisiana, (Griff.) Mart., Magnoliophyta: Arecaceae, climber,extinct,,
175,Dalbergia hullettii, Prain, Magnoliophyta: Fabaceae, tree,extinct,,
176,Dalbergia parviflora, Roxb., Magnoliophyta: Fabaceae, climber,extinct,,
177,Dapania racemosa, Korth., Magnoliophyta: Oxalidaceae, climber,extinct,,
178,Davallia heterophylla, J. Sm., Filicinophyta: Davalliaceae, epiphyte,extinct,,
179,Davallia parvula, Wall. ex Hook. & Grev., Filicinophyta: Davalliaceae, epiphyte,extinct,,
180,Dendrobium acerosum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
181,Dendrobium aciculare, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
182,Dendrobium aloifolium, (Blume) Rchb.f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
183,Dendrobium bifarium, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
184,Dendrobium crocatum, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
185,Dendrobium flexile, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
186,Dendrobium grande, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
187,Dendrobium hendersonii, Hawkes & Heller, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
188,Dendrobium hercoglossum, Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
189,Dendrobium indivisum, (Blume) Miq., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
190,Dendrobium lamellatum, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
191,Dendrobium leonis, (Lindl.) Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
192,Dendrobium lobatum, (Blume) Miq., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
193,Dendrobium microglaphys, Rchb.f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
194,Dendrobium pachyphyllum, (Kuntze.) Bakh. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
195,Dendrobium pandaneti, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
196,Dendrobium pensile, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
197,Dendrobium planibulbe, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
198,Dendrobium prostratum, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
199,Dendrobium pulchellum, Roxb. ex Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
200,Dendrobium salaccense, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
201,Dendrobium secundum, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
202,Dendrobium setifolium, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
203,Dendrobium singaporense, Hawkes & Heller, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
204,Dendrobium spurium, (Blume) J.J. Sm., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
205,Dendrobium stuposum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,, =D. sphegidoglossum Rchb.f.;  D. flavidulum Ridl. ex Hook.f.
206,Dendrobium villosulum, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
207,Dendrochilum longifolium, Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
208,Dendrochilum pallidiflavens, Blume var. pallidiflavens, Magnoliophyta: Orchidaceae, epiphyte,extinct,, =D. ellipticum Ridl.
209,Dendrophthoe falcata, (L. f.) Ettingsh., Magnoliophyta: Loranthaceae, epiphyte,extinct,,
210,Deplanchea bancana, (Scheff.) Steen., Magnoliophyta: Bignoniaceae, tree,extinct, cultivated,
211,Dichapetalum sordidum, (Hook. f.) Leenh., Magnoliophyta: Dichapetalaceae, climber,extinct,,
212,Didymocarpus puncticulatus, Ridl., Magnoliophyta: Gesneriaceae, herb,extinct,,
213,Didymoplexiella ornata, (Ridl.) Garay, Magnoliophyta: Orchidaceae, herb,extinct,,
214,Dienia ophrydis, (J. Konig) Seidenf., Magnoliophyta: Orchidaceae, herb,extinct,, =Malaxis latifolia J.E. Sm.
215,Dillenia indica, L., Magnoliophyta: Dilleniaceae, tree,extinct, cultivated,
216,Dilochia wallichii, Lindl., Magnoliophyta: Orchidaceae, herb,extinct,,
217,Dioscorea stenomeriflora, Prain & Burk., Magnoliophyta: Dioscoreaceae, climber,extinct,,
218,Dioscorea tenuifolia, Ridl., Magnoliophyta: Dioscoreaceae, climber,extinct,,
219,Diospyros apiculata, Hiern, Magnoliophyta: Ebenaceae, tree,extinct,,
220,Diospyros latisepala, Ridl., Magnoliophyta: Ebenaceae, tree,extinct,,
221,Diospyros siamang, Bakh., Magnoliophyta: Ebenaceae, tree,extinct,,
222,Diplectria stipularis, (Blume) Kuntze, Magnoliophyta: Melastomataceae, climber,extinct,,
223,Diplocaulobium longicolle, (Lindl.) Kraenzl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
224,Dipodium pictum, (Lindl.) Rchb. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
225,Dipodium scandens, (Blume) J. J. Sm., Magnoliophyta: Orchidaceae, climber,extinct,,
226,Dischidia albiflora, Griff., Magnoliophyta: Apocynaceae, epiphyte,extinct,,
227,Dischidia bengalensis, Colebr., Magnoliophyta: Apocynaceae, epiphyte,extinct,,
228,Dischidia complex, Griff., Magnoliophyta: Apocynaceae, epiphyte,extinct,,
229,Dischidia hirsuta, (Blume) Decne., Magnoliophyta: Apocynaceae, epiphyte,extinct,,
230,Dischidia singaporensis, Ridl., Magnoliophyta: Apocynaceae, epiphyte,extinct,,
231,Dissochaeta annulata, Hook. f. ex Triana, Magnoliophyta: Melastomataceae, climber,extinct,,
232,Dissochaeta intermedia, Blume, Magnoliophyta: Melastomataceae, climber,extinct,,
233,Dodonaea viscosa, Jacq., Magnoliophyta: Sapindaceae, shrub,extinct, cultivated,
234,Dracaena brachystachys, Hook. f., Magnoliophyta: Ruscaceae, shrub,extinct,,
235,Dracaena singapurensis, Ridl., Magnoliophyta: Ruscaceae, shrub,extinct,,
236,Dysoxylum acutangulum, Miq., Magnoliophyta: Meliaceae, tree,extinct,,
237,Dysoxylum alliaceum, (Blume) Blume, Magnoliophyta: Meliaceae, tree,extinct,,
238,Dysoxylum carolinae, Mabb., Magnoliophyta: Meliaceae, tree,extinct,,
239,Dysoxylum cyrtobotryum, Miq., Magnoliophyta: Meliaceae, tree,extinct,,
240,Echinochloa picta, (J. Koenig) P.W. Michael, Magnoliophyta: Poaceae, herb,extinct,, =E. stagnina auct. non (Retz.) P. Beauv.
241,Elaeocarpus griffithii, (Wight) A.Gray, Magnoliophyta: Elaeocarpaceae, tree,extinct,,
242,Elaphoglossum amblyphyllum, P.R. Bell, Filicinophyta: Lomariopsidaceae, epiphyte,extinct,,
243,Elatostema repens, (Lour.) Hallier. f. var. pulchrum (N. E. Br.) H. Schröt., Magnoliophyta: Urticaceae, climber,extinct, cultivated,
244,Elytranthe albida, (Blume) Blume, Magnoliophyta: Loranthaceae, epiphyte,extinct,,
245,Elytranthe arnottiana, (Korth.) Miq., Magnoliophyta: Loranthaceae, epiphyte,extinct,,
246,Embelia dasythyrsa, Miq., Magnoliophyta: Myrsinaceae, climber,extinct,,
247,Endocomia canarioides, (King) de Wilde, Magnoliophyta: Myristicaceae, tree,extinct,,
248,Engelhardtia serrata, Blume, Magnoliophyta: Juglandaceae, tree,extinct,,
249,Eria bractescens, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
250,Eria floribunda, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
251,Eria javanica, (Sw.) Blume, Magnoliophyta: Orchidaceae, epiphyte,extinct,,
252,Eria longirepens, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
253,Eria neglecta, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
254,Eria nutans, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
255,Eria pannea, Lindl., Magnoliophyta: Orchidaceae, herb,extinct,,
256,Eria pellipes, Hook. f., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
257,Eria pulchella, Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
258,Eria robusta, (Blume) Lindl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
259,Eria tenuiflora, Ridl., Magnoliophyta: Orchidaceae, epiphyte,extinct,,
260,Eriocaulon oryzetorum, Mart., Magnoliophyta: Eriocaulaceae, herb,extinct,,
261,Erycibe citriniflora, Griff., Magnoliophyta: Convolvulaceae, climber,extinct,,
262,Erycibe festiva, Prain, Magnoliophyta: Convolvulaceae, climber,extinct,,
263,Erycibe maingayi, C.B. Clarke, Magnoliophyta: Convolvulaceae, climber,extinct,,
264,Erythorchis altissima, (Blume) Blume, Magnoliophyta: Orchidaceae, climber,extinct,,
265,Etlingera littoralis, (J. Koenig ex Retz.) Giseke, Magnoliophyta: Zingiberaceae, herb,extinct,,
266,Euonymus javanicus, Blume, Magnoliophyta: Celastraceae, tree,extinct,,
267,Eustachys tenera, (Presl) A.Camus, Magnoliophyta: Poaceae, herb,extinct,,
268,Euthemis leucocarpa, Jack, Magnoliophyta: Ochnaceae, shrub,extinct,,
269,Euthemis minor, Jack, Magnoliophyta: Ochnaceae, shrub,extinct,,
270,Fagraea acuminatissima, Merr., Magnoliophyta: Gentianaceae, epiphyte,extinct, cultivated,
271,Fagraea ceilanica, Thunb., Magnoliophyta: Gentianaceae, tree,extinct, cultivated, =F. splendens Blume
272,Fagraea gigantea, Ridl., Magnoliophyta: Gentianaceae, tree,extinct,,
273,Fagraea ridleyi, King & Gamble, Magnoliophyta: Gentianaceae, climber,extinct,,
274,Ficus albipila, (Miq.) King, Magnoliophyta: Moraceae, tree,extinct, cultivated,
275,Ficus annulata, Blume, Magnoliophyta: Moraceae, strangler,extinct,,
276,Ficus botryocarpa, Miq., Magnoliophyta: Moraceae, tree,extinct,,
277,Ficus delosyce, Corner, Magnoliophyta: Moraceae, strangler,extinct,,
278,Ficus excavata, King, Magnoliophyta: Moraceae, climber,extinct,,
279,Ficus pellucidopunctata, Griff., Magnoliophyta: Moraceae, strangler,extinct,,
