no. in part 3,species name,author names with var. and ssp.,phylum: family,life form,status,if cultivated,synonyms
2108,Selaginella ciliaris, (Retz.) Spring, Lycophyta: Selaginellaceae, climber,common,,
2109,Sesuvium portulacastrum, (L.) L., Magnoliophyta: Aizoaceae, herb,common, cultivated,
2110,Setaria parviflora, (Poir.) Kerguélen, Magnoliophyta: Poaceae, herb,common,,
2111,Sida cordifolia, L., Magnoliophyta: Malvaceae, herb,common,,
2112,Smilax setosa, Miq., Magnoliophyta: Smilacaceae, climber,common,,
2113,Sonneratia alba, Sm., Magnoliophyta: Lythraceae, tree,common, cultivated,
2114,Spathoglottis plicata, Blume, Magnoliophyta: Orchidaceae, herb,common, cultivated,
2115,Spatholobus ferrugineus, (Zoll. & Moritzi) Benth., Magnoliophyta: Fabaceae, climber,common,,
2116,Sphaerostephanos heterocarpus, (Blume) Holttum, Filicinophyta: Thelypteridaceae, herb,common,,
2117,Sporobolus indicus, (L.) R. Br. var. flaccidus (Roem. & Schult.) Veldk., Magnoliophyta: Poaceae, herb,common,,
2118,Sporobolus indicus, (L.) R. Br. var. major (Büse) Baaijens, Magnoliophyta: Poaceae, herb,common,,
2119,Sporobolus virginicus, (L.) Kunth, Magnoliophyta: Poaceae, herb,common,,
2120,Stenochlaena palustris, (Burm. f.) Bedd., Filicinophyta: Blechnaceae, climber,common,,
2121,Syzygium borneense, (Miq.) Miq., Magnoliophyta: Myrtaceae, tree,common, cultivated,
2122,Syzygium grande, (Wight) Walp., Magnoliophyta: Myrtaceae, tree,common, cultivated, =Eugenia grandis Wight
2123,Syzygium lineatum, (DC.) Merr. & L.M. Perry, Magnoliophyta: Myrtaceae, tree,common, cultivated,
2124,Syzygium zeylanicum, (L.) DC., Magnoliophyta: Myrtaceae, shrub,common, cultivated,
2125,Taenitis blechnoides, (Willd.) Sw., Filicinophyta: Pteridaceae, climber,common, cultivated,
