year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1977,1479,437,669.6259,555.3474,662.0,680.0,430.0,710.0
1978,1479,438,668.3159,555.6574,660.0,679.0,431.0,710.0
1980,1477,440,667.5801,556.3932,660.0,677.0,431.0,710.0
1981,1487,441,656.3715,556.6018,649.0,666.0,431.975,710.0
1982,1488,445,649.8625,558.1108,644.0,658.0,433.0,712.0
1983,1479,456,643.3335,562.6398,640.0,649.0,437.975,717.0
1985,1478,459,640.2479,563.7254,638.0,645.0,438.0,719.0
1993,1499,460,617.924,564.0493,616.0,622.0,438.0,719.0
1996,1519,461,596.6747,564.2986,595.0,601.0,438.0,719.0
2001,1529,463,584.0763,564.897,583.0,587.0,439.0,720.0
2015,1612,464,500.0,564.9733,500.0,500.0,440.0,720.0
