Family,PL_output_name,Authority,extant as of 2015? (pers.obs.),comment
Moraceae,Ficus xylophylla,(Miq.) Wall. ex Miq.,yes (ys),
Apocynaceae,Finlaysonia obovata,Wall.,yes (ys),
Annonaceae,Fissistigma fulgens,(Hook.f. & Thomson) Merr.,yes (ys),
Annonaceae,Fissistigma latifolium (var. ovoideum),(Dunal) Merr.,yes (ys),
Salicaceae,Flacourtia rukam,Zoll. & Moritzi,yes (ys),
Flagellariaceae,Flagellaria indica,L.,yes (ys),
Annonaceae,Friesodielsia latifolia,(Hook.f. & Thomson) Steenis,yes (ys),
Rubiaceae,Gaertnera grisea,Hook.f. ex C.B.Clarke,yes (ys),
Rubiaceae,Gaertnera obesa,Hook.f. ex C.B.Clarke,yes (ys),
Rubiaceae,Gaertnera viminea,Hook.f. ex C.B.Clarke,yes (ys),
Pandaceae,Galearia fulva,(Tul.) Miq.,yes (ys),
Pandaceae,Galearia maingayi,Hook.f.,yes (Louise),
Clusiaceae,Garcinia atroviridis,Griff. ex T.Anderson,yes (ys),
Clusiaceae,Garcinia forbesii,King,yes (ys),
Clusiaceae,Garcinia griffithii,T.Anderson,yes (ys),
Clusiaceae,Garcinia hombroniana,Pierre,yes (ys),
Clusiaceae,Garcinia parvifolia,(Miq.) Miq.,yes (ys),
Clusiaceae,Garcinia rostrata,(Hassk.) Miq.,yes (ys),
Clusiaceae,Garcinia scortechinii,King,yes (ys),
Rubiaceae,Gardenia subcarinata,(Corner) Y.W.Low,yes (ys),
Rubiaceae,Geophila repens,(L.) I.M.Johnst.,yes (ys),
Cannabaceae,Gironniera nervosa,Planch.,yes (ys),
Cannabaceae,Gironniera parvifolia,Planch.,yes (ys),
Cannabaceae,Gironniera subaequalis,Planch.,yes (ys),
Gleicheniaceae,Gleichenia truncata,(Willd.) Spreng.,yes (ys),
Zingiberaceae,Globba leucantha,Miq.,yes (ys),
Zingiberaceae,Globba pendula,Roxb.,yes (Matti),
Phyllanthaceae,Glochidion lutescens,Blume,yes (ys),
Phyllanthaceae,Glochidion superbum,Baill. ex Müll.Arg.,yes (ys),
Anacardiaceae,Gluta wallichii,(Hook.f.) Ding Hou,yes (ys),
Rutaceae,Glycosmis chlorosperma,(Blume) Spreng.,yes (ys),
Gnetaceae,Gnetum gnemon,L.,yes (ys),
Gnetaceae,Gnetum macrostachyum,Hook.f.,yes (ys),
Gnetaceae,Gnetum microcarpum,Blume,yes (ys),
Stemonuraceae,Gomphandra quadrifida (var. ovalifolia),(Blume) Sleumer,yes (ys),
Polypodiaceae,Goniophlebium percussum,(Cav.) Wagner & Grether,yes (ys),
Annonaceae,Goniothalamus ridleyi,King,yes (louise),
Annonaceae,Goniothalamus tapis,Miq.,yes (ys),
Cardiopteridaceae,Gonocaryum gracile,Miq.,yes (ys),
Thymelaeaceae,Gonystylus confusus,Airy Shaw,yes (ys),
Theaceae,Gordonia multinervis,King,yes (ys),
Theaceae,Gordonia penangensis,Ridl.,yes (ys),
Theaceae,Gordonia singaporeana,(Dyer) Wall. ex Ridl.,yes (ys),
Primulaceae,Grenacheria amentacea,(C.B.Clarke) Mez,yes (ys),
Malvaceae,Grewia laevigata,Vahl,yes (ys),
Sapindaceae,Guioa pleuropteris,(Blume) Radlk.,yes (ys),
Sapindaceae,Guioa pubescens,(Zoll. & Moritzi) Radlk.,yes (ys),
Myristicaceae,Gymnacranthera bancana,(Miq.) J.Sinclair,yes (ys),
Myristicaceae,Gymnacranthera farquhariana,(Hook.f. & Thomson) Warb.,yes (ys),
Myristicaceae,Gymnacranthera forbesii,(King) Warb.,yes (ys),
Rubiaceae,Gynochthodes coriacea,Blume,yes (ys),
Rubiaceae,Gynochthodes sublanceolata,Miq.,yes (ys),
Rhizophoraceae,Gynotroches axillaris,Blume,yes (ys),
Euphorbiaceae,Hancea penangensis,"(Müll.Arg.) S.E.C.Sierra, Kulju & Welzen",yes (ys),
Hanguanaceae,Hanguana neglecta,Škorničk. & Niissalo,yes [Sing. Gard. Bull. 67(1)],
Hanguanaceae,Hanguana nitens,"Siti Nurfazilah, Mohd Fahmi, Sofiman Othman & P.C.Boyce",yes [Sing. Gard. Bull. 67(1)],
Hanguanaceae,Hanguana rubinea,Škorničk. & P.C.Boyce,yes [Sing. Gard. Bull. 67(1)],
Hanguanaceae,Hanguana triangulata,Škorničk. & P.C.Boyce,yes [Sing. Gard. Bull. 67(1)],
Rubiaceae,Hedyotis capitellata,Wall. ex G.Don,yes (ys),
Rubiaceae,Hedyotis pinifolia,Wall. ex G.Don,yes (ys),
Malvaceae,Heritiera borneensis,(Merr.) Kosterm.,yes (reuben),
Malvaceae,Heritiera elata,Ridl.,yes (ys),
Malvaceae,Heritiera littoralis,Aiton,yes (ys),
Malvaceae,Heritiera simplicifolia,(Mast.) Kosterm.,yes (ys),
Tectariaceae,Heterogonium sagenioides,(Mett.) Holttum,yes (ys),
Salicaceae,Homalium grandiflorum,Benth.,yes (ys),
Dipterocarpaceae,Hopea ferruginea,Parijs,yes (ys),
Dipterocarpaceae,Hopea griffithii,Kurz,yes (ys),
Dipterocarpaceae,Hopea mengarawan,Miq.,yes (ys),
Dipterocarpaceae,Hopea sangal,Korth.,yes (ys),
Zingiberaceae,Hornstedtia leonurus,(J.Koenig) Retz.,yes (ys),
Zingiberaceae,Hornstedtia scyphifera,(J.Koenig) Steud.,yes (ys),
Myristicaceae,Horsfieldia crassifolia,(Hook.f. & Thomson) Warb.,yes (reuben),
Myristicaceae,Horsfieldia grandis,(Hook.f.) Warb.,yes (reuben),
Myristicaceae,Horsfieldia polyspherula,(Hook.f. ex King) J.Sinclair,yes (ys),
Myristicaceae,Horsfieldia punctatifolia,J.Sinclair,yes (reuben),
Myristicaceae,Horsfieldia sucosa,Warb.,yes (reuben),
Myristicaceae,Horsfieldia superba,Warb.,yes (reuben),
Myristicaceae,Horsfieldia wallichii,Warb.,yes (reuben),
Apocynaceae,Hoya coronaria,Blume,yes (ys),
Apocynaceae,Hoya latifolia,G.Don,yes (ys),
Apocynaceae,Hoya obtusifolia,Wight,yes (Michele Rodda),
Apocynaceae,Hoya verticillata,(Vahl) G. Don,yes (ys),
Lycopodiaceae,Huperzia phlegmaria,(L.) Rothm.,yes (ys),
Rubiaceae,Hydnophytum formicarum,Jack,yes (ys),
Cyperaceae,Hypolytrum nemorum (var. proliferum),(Vahl) Spreng.,yes (ys),
Menispermaceae,Hypserpa nitida,Miers ex Benth.,yes (ys),
Arecaceae,Iguanura geonomiformis,Mart.,yes (ys),
Aquifoliaceae,Ilex cymosa,Blume,yes (ys),
Linaceae,Indorouchera griffithiana,(Planch.) Hallier f.,yes (ys),
Icacinaceae,Iodes ovalis,Blume,yes (ys),
Icacinaceae,Iodes velutina,King,yes (ys),
Convolvulaceae,Ipomoea mauritiana,Jacq.,yes (reuben),
Convolvulaceae,Ipomoea pes-caprae,(L.) R. Br.,yes (reuben),
Convolvulaceae,Ipomoea pes-tigridis,L.,yes (reuben),
Convolvulaceae,Ipomoea violacea,L.,yes (reuben),
Irvingiaceae,Irvingia malayana,Oliv. ex A.W.Benn.,yes (ys),
Poaceae,Ischaemum muticum,L.,yes (ys),
Ixonanthaceae,Ixonanthes icosandra,Jack,yes (ys),
Ixonanthaceae,Ixonanthes reticulata,Jack,yes (ys),
Rubiaceae,Ixora congesta,Roxb.,yes (ys),
Rubiaceae,Ixora lobbii,Loudon,yes (ys),
Rubiaceae,Ixora pendula,Jack,yes (ys),
Oleaceae,Jasminum elongatum,(P.J.Bergius) Willd.,yes (ys),
Schisandraceae,Kadsura scandens,(Blume) Blume,yes (ys),
Apocynaceae,Kibatalia maingayi,(Hook.f.) Woodson,yes (ys),
Malvaceae,Kleinhovia hospita,L.,yes (Chong friendly list),
Myristicaceae,Knema communis,J.Sinclair,yes (reuben),
Myristicaceae,Knema conferta,(King) Warb.,yes (reuben),
Myristicaceae,Knema curtisii,Warb.,yes (ys),
Myristicaceae,Knema furfuracea,(Hook. f. & Thomson) Warb.,yes (reuben),
Myristicaceae,Knema glaucescens,Jack,yes (reuben),
Myristicaceae,Knema globularia,(Lam.) Warb.,yes (ys),
Myristicaceae,Knema hookeriana,Warb.,yes (ys),
Myristicaceae,Knema intermedia,Warb.,yes (ys),
Myristicaceae,Knema latericia,Elmer,yes (ys),
Myristicaceae,Knema laurina,Warb.,yes (ys),
Myristicaceae,Knema malayana,Warb.,yes (ys),
Euphorbiaceae,Koilodepas longifolium,Hook.f.,yes (ys),
Celastraceae,Kokoona reflexa,(M.A.Lawson) Ding Hou,yes (ys),
Leguminosae,Koompassia malaccensis,Benth.,yes (ys),
Apocynaceae,Kopsia singapurensis,Ridl.,yes (ys),
Arecaceae,Korthalsia echinometra,Becc.,"yes (Loo et al., 2014)",
Arecaceae,Korthalsia flagellaris,Miq.,"yes (Loo et al., 2014)",
Arecaceae,Korthalsia rigida,Blume,"yes (Loo et al., 2014)",
Arecaceae,Korthalsia rostrata,Blume,"yes (Loo et al., 2014)",
Leguminosae,Kunstleria ridleyi,Prain,yes (ys),
Primulaceae,Labisia pumila,(Blume) Fern.-Vill.,yes (ys),
Araceae,Lasia spinosa,(L.) Thwaites,yes (ys),
Rubiaceae,Lasianthus attenuatus,Jack,yes (ys),
Polypodiaceae,Lecanopteris crustacea,Copel.,yes (ys),
Polypodiaceae,Lecanopteris sinuosa,(Wall.ex Hook.) Copel.,yes (ys),
Vitaceae,Leea angulata,Korth. ex Miq.,yes (ys),
Vitaceae,Leea indica,(Burm. f.) Merr.,yes (ys),
Vitaceae,Leea rubra,Blume ex Spreng.,yes (reuben),
Opiliaceae,Lepionurus sylvestris,Blume,yes (ys),
Cyperaceae,Lepironia articulata,(Retz.) Domin,yes (ys),
Sapindaceae,Lepisanthes rubiginosa,(Roxb.) Leenh.,yes (ys),
Apocynaceae,Leuconotis griffithii,Hook.f.,yes (ys),
Chrysobalanaceae,Licania splendens,(Korth.) Prance,yes (ys),
Arecaceae,Licuala ferruginea,Becc.,yes (ys),
Arecaceae,Licuala spinosa,Wurmb,yes (ys),
Menispermaceae,Limacia scandens,Lour.,yes (ys),
Lauraceae,Lindera lucida,Boerl.,yes (ys),
Lindsaeaceae,Lindsaea cultrata,(Willd.) Sw.,yes (ys),
Lindsaeaceae,Lindsaea divergens,Hook. & Grev.,yes (ys),
Lindsaeaceae,Lindsaea ensifolia,Sw.,yes (ys),
Orchidaceae,Liparis barbata,Lindl.,yes (2010 NIS),
Orchidaceae,Liparis ferruginea,Lindl.,yes (comment),"m-still grows in Tampines (though not seen in 2016; https://orchid.unibas.ch/index.php/en/database-search/advanced-search?SearchResultID=186694 - there is also a NIS paper but I can't find it) and Simpang (https://www.nss.org.sg/report/dd603a22-7SustainableSingaporeProjectNatureSocietyReportFinal.pdf), changed last record date from 1899 to 2015"
Fagaceae,Lithocarpus bennettii,(Miq.) Rehder,yes (ys),
Fagaceae,Lithocarpus cantleyanus,(King ex Hook.f.) Rehder,yes (ys),
Fagaceae,Lithocarpus conocarpus,(Oudem.) Rehder,yes (ys),
Fagaceae,Lithocarpus elegans,(Blume) Hatus. ex Soepadmo,yes (ys),
Fagaceae,Lithocarpus encleisocarpus,(Korth.) A.Camus,yes (ys),
Fagaceae,Lithocarpus ewyckii,(Korth.) Rehder,yes (ys),
Fagaceae,Lithocarpus lucidus,(Roxb.) Rehder,yes (ys),
Lauraceae,Litsea accedens,(Blume) Boerl.,yes (ys),
Lauraceae,Litsea castanea,Hook.f.,yes (ys),
Lauraceae,Litsea cordata,(Jack) Hook.f.,yes (ys),
Lauraceae,Litsea elliptica,Blume,yes (ys),
Lauraceae,Litsea ferruginea,Blume,yes (ys),
Lauraceae,Litsea firma,(Blume) Hook.f.,yes (ys),
Lauraceae,Litsea grandis,(Nees) Hook.f.,yes (ys),
Lauraceae,Litsea lancifolia,(Roxb. ex Nees) Fern.-Vill.,yes (ys),
Celastraceae,Lophopetalum wightianum,Arn.,yes (ys),
Combretaceae,Lumnitzera littorea,(Jack) Voigt,yes (ys),
Combretaceae,Lumnitzera racemosa,Willd.,yes (ys),
Rutaceae,Luvunga crassifolia,Tanaka,yes (ys),
Lycopodiaceae,Lycopodiella cernua,(L.) Pic. Serm.,yes (ys),
Lygodiaceae,Lygodium circinnatum,(Burm. f.) Sw.,yes (ys),
Lygodiaceae,Lygodium flexuosum,(L.) Sw.,yes (ys),
Lygodiaceae,Lygodium longifolium,(Willd.) Sw.,yes (ys),
Lygodiaceae,Lygodium microphyllum,(Cav.) R. Br.,yes (ys),
Lygodiaceae,Lygodium salicifolium,C.Presl,yes (ys),
Euphorbiaceae,Macaranga bancana,(Miq.) Müll.Arg.,yes (ys),
Euphorbiaceae,Macaranga conifera,(Rchb.f. & Zoll.) Müll.Arg.,yes (ys),
Euphorbiaceae,Macaranga gigantea,(Rchb.f. & Zoll.) Müll.Arg.,yes (ys),
Euphorbiaceae,Macaranga griffithiana,Müll.Arg.,yes (ys),
Euphorbiaceae,Macaranga heynei,I.M.Johnst.,yes (ys),
Euphorbiaceae,Macaranga hullettii,King ex Hook.f.,yes (ys),
Euphorbiaceae,Macaranga hypoleuca,(Rchb.f. & Zoll.) Müll.Arg.,yes (ys),
Euphorbiaceae,Macaranga lowii,King ex Hook.f.,yes (ys),
Euphorbiaceae,Macaranga recurvata,Gage,yes (ys),
Euphorbiaceae,Macaranga trichocarpa,(Zoll.) Müll.Arg.,yes (ys),
Rutaceae,Maclurodendron porteri,(Hook. f.) T.G. Hartley,yes (ys),
Loranthaceae,Macrosolen cochinchinensis,(Lour.) Tiegh.,yes (ys),
Loranthaceae,Macrosolen retusus,Blume,yes (ys),
Sapotaceae,Madhuca kingiana,(Brace ex King & Gamble) H.J.Lam,yes (ys),
Primulaceae,Maesa ramentacea,(Roxb.) A. DC.,yes (ys),
Magnoliaceae,Magnolia elegans,(Blume) H.Keng,yes (ys),
Magnoliaceae,Magnolia maingayi,King,yes (ys),
Magnoliaceae,Magnolia singapurensis,(Ridl.) H.Keng,yes (ys),
Euphorbiaceae,Mallotus paniculatus,(Lam.) Müll.Arg.,yes (ys),
Anacardiaceae,Mangifera caesia,Jack,yes (reuben),
Anacardiaceae,Mangifera foetida,Lour.,yes (reuben),
Anacardiaceae,Mangifera griffithii,Hook.f.,yes (reuben),
Anacardiaceae,Mangifera magnifica,Kochummen,yes (reuben),
Anacardiaceae,Mangifera odorata,Griff.,yes (reuben),
Anacardiaceae,Mangifera quadrifida,Jack,yes (ys),
Cyperaceae,Mapania cuspidata,(Miq.) Uittien,yes (ys),
Chrysobalanaceae,Maranthes corymbosa,Blume,yes (ys),
Phyllanthaceae,Margaritaria indica,(Dalzell) Airy Shaw,yes (ys),
Apocynaceae,Marsdenia maingayi,(Hook.f.) P.I.Forst,yes (ys),
Monimiaceae,Matthaea sancta,Blume,yes (ys),
Anacardiaceae,Melanochyla angustifolia,Hook.f.,yes (reuben),
Anacardiaceae,Melanochyla auriculata,Hook.f.,yes (reuben),
Anacardiaceae,Melanochyla caesia,(Blume) Ding Hou,yes (reuben),
Melastomataceae,Melastoma malabathricum,L.,yes (ys),
Rutaceae,Melicope lunu-ankenda,(Gaertn.) T.G. Hartley,yes (ys),
Sabiaceae,Meliosma pinnata,(Roxb.) Maxim.,yes (ys),
Memecylaceae,Memecylon amplexicaule,Roxb.,yes (ys),
Memecylaceae,Memecylon cantleyi,Ridl.,yes (ys),
Memecylaceae,Memecylon excelsum,Blume,yes (louise),
Memecylaceae,Memecylon floridum,Ridl.,yes (louise),
Memecylaceae,Memecylon lilacinum,Zoll. & Moritzi,yes (ys),
Memecylaceae,Memecylon paniculatum,Jack,yes (ys),
Convolvulaceae,Merremia hederacea,(Burm. f.) Hallier f.,yes (ys),
Thelypteridaceae,Mesophlebion chlamydophorum,(Rosenst. ex C. Chr.) Holttum,yes (ys),
Thelypteridaceae,Mesophlebion motleyanum,(Hook.) Holttum,yes (ys),
Apocynaceae,Micrechites serpyllifolius,(Blume) Kosterm.,yes (ys),
Malvaceae,Microcos blattaefolia,(Corner) Rao,yes (reuben),
Malvaceae,Microcos globulifera,(Mast.) Burret,yes (reuben),
Malvaceae,Microcos hirsuta,(Korth.) Burret,yes (reuben),
Pandaceae,Microdesmis caseariifolia,Planch. ex Hook.,yes (ys),
Dennstaedtiaceae,Microlepia speluncae,(L.) T. Moore,yes (ys),
Polypodiaceae,Microsorum punctatum,(L.) Copel.,yes (ys),
Annonaceae,Mitrella kentii,(Blume) Miq.,yes (ys),
Hypoxidaceae,Molineria capitulata,(Lour.) Herb.,yes (ys),
Hypoxidaceae,Molineria latifolia,(Dryand. ex W.T.Aiton) Herb. ex Kurz,yes (ys),
Annonaceae,Monocarpia marginalis,(Scheff.) Sinclair,yes (comment),
Myricaceae,Morella esculenta,(Buch.-Ham. ex D. Don) I.M. Turner,yes (ys),
Rubiaceae,Morinda umbellata,L.,yes (ys),
Rubiaceae,Mussaenda glabra,Vahl,yes (ys),
Arecaceae,Myrialepis paradoxa,(Kurz) J.Dransf.,yes (ys),
Myristicaceae,Myristica cinnamomea,King,yes (ys),
Myristicaceae,Myristica elliptica,Wall.,yes (reuben),
Myristicaceae,Myristica iners,Blume,yes (reuben),
Myristicaceae,Myristica lowiana,King,yes (reuben),
Myristicaceae,Myristica maingayi,Hook.f.,yes (reuben),
Myristicaceae,Myristica maxima,Warb.,yes (ys),
Rubiaceae,Nauclea officinalis,(Pierre ex Pit.) Merr. & Chun,yes (ys),
Malvaceae,Neesia malayana,Bakh.,yes (reuben),
Malvaceae,Neesia synandra,Mast.,yes (ys),
Arecaceae,Nenga pumila (var. pachystachya),(Blume) H.Wendl.,yes (ys),
Lauraceae,Neolitsea cassia,(L.) Kosterm.,yes (ys),
Euphorbiaceae,Neoscortechinia sumatrensis,S.Moore,yes (ys),
Nepenthaceae,Nepenthes ampullaria,Jack,yes (ys),
Nepenthaceae,Nepenthes gracilis,Korth.,yes (ys),
Nepenthaceae,Nepenthes rafflesiana,Jack,yes (ys),
Orchidaceae,Nephelaphyllum pulchrum,Blume,yes (2011 NIS),
Sapindaceae,Nephelium cuspidatum,Blume,yes (ys),
Sapindaceae,Nephelium lappaceum,L.,yes (ys),
Sapindaceae,Nephelium laurinum,Blume,yes (ys),
Sapindaceae,Nephelium maingayi,Hiern,yes (Wei Wei),
Nephrolepidaceae,Nephrolepis acutifolia,(Desv.) Christ,yes (ys),
Lauraceae,Nothaphoebe umbelliflora,(Blume) Blume,yes (ys),
Vitaceae,Nothocissus spicifera,Griff.,yes (ys),
Menyanthaceae,Nymphoides indica,(L.) Kuntze,yes (ys),
Arecaceae,Nypa fruticans,Wurmb,yes (ys),
Olacaceae,Ochanostachys amentacea,Mast.,yes (ys),
Rubiaceae,Oldenlandia prostrata,Pires de Lima,yes (ys),
Oleaceae,Olea brachiata,(Lour.) Merr.,yes (ys),
Arecaceae,Oncosperma horridum,(Griff.) Scheff.,yes (ys),
Arecaceae,Oncosperma tigillarium,(Jack) Ridl.,yes (ys),
Ophioglossaceae,Ophioglossum pendulum,L.,yes (ys),
Ophioglossaceae,Ophioglossum reticulatum,L.,yes (ys),
Rubiaceae,Ophiorrhiza singaporensis,Ridl.,yes (ys),
Arecaceae,Orania sylvicola,(Griff.) H.E.Moore,"yes (Loo et al., 2014)",
Leguminosae,Ormosia bancana,(Miq.) Merr.,yes (ys),
Salicaceae,Osmelia philippina,Fern.-Vill.,yes (ys),
Poaceae,Ottochloa nodosa,(Kunth) Dandy,yes (ys),
Rubiaceae,Oxyceros fragrantissimus,(Ridl.) K.M.Wong,yes (ys),
Rubiaceae,Oxyceros longiflorus,(Lam.) T.Yamaz.,yes (ys),
Rubiaceae,Paederia foetida,L.,yes (ys),
Sapotaceae,Palaquium gutta,(Hook.) Baill.,yes (ys),
Sapotaceae,Palaquium hexandrum,(Griff.) Baill.,yes (Wei Wei),
Sapotaceae,Palaquium microphyllum,King & Gamble,yes (ys),
Sapotaceae,Palaquium obovatum,(Griff.) Engl.,yes (ys),
Sapotaceae,Palaquium rostratum,(Miq.) Burck,yes (ys),
Sapotaceae,Palaquium xanthochymum,(de Vriese) Pierre ex Burck,yes (Wei Wei),
Pandanaceae,Pandanus yvanii,Solms,yes (ys),
Apocynaceae,Parameria laevigata,(Juss.) Moldenke,yes (ys),
Apocynaceae,Parameria polyneura,Hook.f.,yes (ys),
Rutaceae,Paramignya scandens,Craib,yes (ys),
Chrysobalanaceae,Parastemon urophyllus,(Wall. ex A.DC.) A.DC.,yes (ys),
Chrysobalanaceae,Parinari oblongifolia,Hook.f.,yes (ys),
Anacardiaceae,Parishia insignis,Hook.f.,yes (ys),
Anacardiaceae,Parishia maingayi,Hook.f.,yes (ys),
Leguminosae,Parkia speciosa,Hassk.,yes (ys),
Poaceae,Paspalum vaginatum,Sw.,yes (ys),
Rubiaceae,Pavetta wallichiana,Steud.,yes (ys),
Asparagaceae,Peliosanthes teta,Andrews,yes (ys),
Rhizophoraceae,Pellacalyx axillaris,Korth.,yes (ys),
Rhizophoraceae,Pellacalyx saccardianus,Scort.,yes (ys),
Malvaceae,Pentace triptera,Mast.,yes (ys),
Pentaphragmataceae,Pentaphragma ellipticum var. ellipticum,Poulsen,yes (ys),
Rubiaceae,Pertusadina eurhyncha,(Miq.) Ridsdale,yes (ys),
Annonaceae,Phaeanthus ophthalmicus,(Roxb. ex G.Don) J.Sinclair,yes (ys),
Arecaceae,Pholidocarpus kingianus,(Becc.) Ridl.,"yes (Loo et al., 2014)",
Marantaceae,Phrynium hirtum,Ridl.,yes (ys),
Marantaceae,Phrynium parvum,(Ridl.) Holttum,yes (Matti),
Polypodiaceae,Phymatosorus scolopendria,(Burm. f.) Pic. Serm.,yes (ys),
Icacinaceae,Phytocrene bracteata,Wall.,yes (ys),
Euphorbiaceae,Pimelodendron griffithianum,(Müll.Arg.) Benth. ex Hook.f.,yes (ys),
Arecaceae,Pinanga malaiana,(Mart.) Scheff.,"yes (Loo et al., 2014)",
Arecaceae,Pinanga simplicifrons,(Miq.) Becc.,yes (ys),
Piperaceae,Piper caninum,Blume,yes (ys),
Piperaceae,Piper flavimarginatum,C.DC.,yes (ys),
Piperaceae,Piper macropiper,Pennant,yes (ys),
Piperaceae,Piper porphyrophyllum,N.E.Br.,yes (ys),
Piperaceae,Piper ribesioides,Wall.,yes (ys),
Piperaceae,Piper ridleyi,C.DC.,yes (ys),
Piperaceae,Piper sarmentosum,Roxb.,yes (ys),
Pittosporaceae,Pittosporum ferrugineum,W.T.Aiton,yes (ys),
Lecythidaceae,Planchonia grandis,Ridl.,yes (ys),
Polypodiaceae,Platycerium coronarium,(Mull.) Desv.,yes (ys),
Arecaceae,Plectocomia elongata,Mart. ex Blume,yes (ys),
Arecaceae,Plectocomiopsis geminiflora,(Griff.) Becc.,yes (2011 NIS),
Tectariaceae,Pleocnemia conjugata,(Blume) C. Presl,yes (ys),
Tectariaceae,Pleocnemia irregularis,(C. Presl) Holttum,yes (ys),
Orchidaceae,Plocoglottis gigantea,(Hook.f.) J.J.Sm.,yes (ys),
Orchidaceae,Plocoglottis javanica,Blume,yes (2011 NIS),
Orchidaceae,Plocoglottis lowii,Rchb.f.,yes (Matti),
Bonnetiaceae,Ploiarium alternifolium,(Vahl) Melch.,yes (ys),
Podocarpaceae,Podocarpus polystachyus,R.Br. ex Endl.,yes (ys),
Urticaceae,Poikilospermum suaveolens,(Blume) Merr.,yes (ys),
Annonaceae,Polyalthia angustissima,Ridl.,yes (ys),
Annonaceae,Polyalthia cauliflora,Hook.f. & Thomson,yes (ys),
Orchidaceae,Polystachya concreta,(Jacq.) Garay & H.R.Sweet,yes (2011 NIS),
Orchidaceae,Pomatocalpa diffusum,Breda,yes (2010 NIS),
Sapindaceae,Pometia pinnata,J.R. Forst. & G. Forst.,yes (ys),
Leguminosae,Pongamia pinnata,(L.) Pierre,yes (ys),
Annonaceae,Popowia tomentosa,Maingay ex Hook.f. & Thomson,yes (ys),
Sapotaceae,Pouteria malaccensis,(C.B.Clarke) Baehni,yes (ys),
Sapotaceae,Pouteria obovata,(R.Br.) Baehni,yes (ys),
Thelypteridaceae,Pronephrium repandum,(Fee) Holttum,yes (ys),
Thelypteridaceae,Pronephrium triphyllum,(Sw.) Holttum,yes (ys),
Rosaceae,Prunus arborea,(Blume) Kalkman,yes (ys),
Rosaceae,Prunus grisea,(Blume ex Müll.Berol.) Kalkman,yes (ys),
Rosaceae,Prunus polystachya,(Hook.f.) Kalkman,yes (ys),
Meliaceae,Pseudoclausena chrysogyne,(Miq.) T.Clark,yes (Wei Wei),
Psilotaceae,Psilotum nudum,(L.) P. Beauv.,yes (ys),
Rubiaceae,Psychotria helferiana,Kurz,yes (ys),
Rubiaceae,Psychotria maingayi,Hook.f.,yes (ys),
Rubiaceae,Psychotria ovoidea,Wall. ex Hook.f.,yes (ys),
Rubiaceae,Psychotria penangensis,Hook.f.,yes (ys),
Rubiaceae,Psychotria rostrata,Blume,yes (ys),
Pteridaceae,Pteris multifida,Poir.,yes (ys),
Pteridaceae,Pteris semipinnata,L.,yes (ys),
Pteridaceae,Pteris tripartita,Sw.,yes (ys),
Vitaceae,Pterisanthes eriopoda,Planch.,yes (ys),
Vitaceae,Pterisanthes polita,Planch.,yes (ys),
Melastomataceae,Pternandra caerulescens,Jack,yes (ys),
Melastomataceae,Pternandra echinata,Wall.,yes (ys),
Malvaceae,Pterocymbium tubulatum,Pierre,yes (reuben),
Malvaceae,Pterospermum javanicum,Jungh.,yes (ys),
Theaceae,Pyrenaria acuminata,Planch. ex Choisy,yes (ys),
Polypodiaceae,Pyrrosia lanceolata,(L.) Farw.,yes (ys),
Polypodiaceae,Pyrrosia longifolia,(Burm. f.) C.V. Morton,yes (ys),
Polypodiaceae,Pyrrosia piloselloides,(L.) M.G. Price,yes (ys),
Rhizophoraceae,Rhizophora apiculata,Blume,yes (ys),
Myrtaceae,Rhodamnia cinerea,Jack,yes (ys),
Arecaceae,Rhopaloblaste singaporensis,(Becc.) Hook.f.,yes (ys),
Violaceae,Rinorea anguifera,Kuntze,yes (ys),
Violaceae,Rinorea lanceolata,Kuntze,yes (ys),
Rubiaceae,Rothmannia macrophylla,(Hook.f.) Bremek.,yes (ys),
Connaraceae,Rourea acutipetala,Miq.,yes (Wei Wei),
Connaraceae,Rourea asplenifolia,(G. Schellenb.) Jongkind,yes (ys),
Connaraceae,Rourea fulgens,Planch.,yes (ys),
Connaraceae,Rourea mimosoides,Planch.,yes (ys),
Connaraceae,Rourea minor,(Gaertn.) Alston,yes (ys),
Rosaceae,Rubus moluccanus,L.,yes (ys),
Achariaceae,Ryparosa hullettii,King,yes (ys),
Arecaceae,Salacca affinis,Griff.,yes (ys),
Celastraceae,Salacia chinensis,L.,yes (reuben),
Celastraceae,Salacia korthalsiana,Miq.,yes (ys),
Celastraceae,Salacia maingayi,M.A.Lawson,yes (reuben),
Celastraceae,Salacia viminea,Wall.,yes (ys),
Meliaceae,Sandoricum beccarianum,Baill.,yes (ys),
Meliaceae,Sandoricum koetjape,(Burm.f.) Merr.,yes (ys),
Burseraceae,Santiria apiculata,A.W.Benn.,yes (ys),
Burseraceae,Santiria griffithii,Engl.,yes (ys),
Burseraceae,Santiria laevigata,Blume,yes (ys),
Burseraceae,Santiria rubiginosa,Blume,yes (Wei Wei),
Burseraceae,Santiria tomentosa,Blume,yes (Wei Wei),
Sapotaceae,Sarcosperma paniculatum,(King) Stapf & King,yes (ys),
Actinidiaceae,Saurauia pentapetala,(Jack) Hoogland,yes (ys),
Goodeniaceae,Scaevola taccada,(Gaertn.) Roxb.,yes (ys),
Malvaceae,Scaphium affine,(Mast.) Pierre,yes (reuben),
Malvaceae,Scaphium linearicarpum,(Mast.) Pierre,yes (ys),
