standard name,first detection,last detection,no. detns,expert extant?,chong common?
dioscorea laurifolia,1890,2013,22,yes,yes
dioscorea orbiculata var. tenuifolia,1881,2011,6,yes,
dioscorea polyclados,1890,2010,10,yes,
dioscorea prainiana,1896,2009,9,,
dioscorea pyrifolia,1822,2004,21,yes,yes
dioscorea stenomeriflora,1894,1894,1,yes,
dioscorea tenuifolia,1891,1891,1,,
diospyros apiculata,1939,1939,1,,
diospyros argentea,1885,1996,6,yes,
diospyros buxifolia,1892,2010,12,yes,
diospyros confusa,1917,2010,4,,
diospyros coriacea,1894,2010,3,,
diospyros diepenhorstii,1890,1966,7,yes,
diospyros ferrea,1894,1894,1,,
diospyros lanceifolia,1831,2013,32,yes,yes
diospyros maingayi,1890,2010,10,,
diospyros oblonga,1889,2010,26,yes,
diospyros siamang,1933,1933,1,,
diospyros styraciformis,1867,2010,14,yes,
diospyros sumatrana,1893,2010,10,,
diospyros venosa,1891,2010,8,,
diplazium cordifolium,1822,1893,3,yes,
diplazium crenato-serratum,1842,2009,15,yes,
diplazium esculentum,1879,1975,6,,
diplazium kunstleri,1996,2005,2,,
diplazium malaccense,1880,2009,10,,
diplazium prescottianum,1822,2009,9,,
diplazium riparium,1850,1904,3,,
diplazium sorzogonense,1894,1929,6,,
diplazium tomentosum,1882,1983,8,,
diplectria divaricata,1884,2012,4,yes,
diplectria stipularis,1893,1954,2,,
diplectria viminalis,1889,2008,11,,
diplospora malaccensis,1893,2012,14,yes,
dipodium paludosum,1890,1910,3,,
dipodium scandens,1996,1996,1,,
dipteris conjugata,1862,2010,11,,
dipterocarpus caudatus subsp. penangianus,1894,2010,12,yes,
dipterocarpus chartaceus,2010,2012,2,,
dipterocarpus cornutus,1822,2009,8,yes,
dipterocarpus costulatus,1996,1996,1,,
dipterocarpus elongatus,1955,2010,8,,
dipterocarpus gracilis,1957,1957,1,,
dipterocarpus grandiflorus,1900,2005,6,yes,
dipterocarpus kerrii,1921,2004,8,,
dipterocarpus kunstleri,1955,2010,11,yes,
dipterocarpus palembanicus,1957,1957,1,,
dipterocarpus sublamellatus,1890,2010,10,yes,
dipterocarpus tempehes,2005,2009,3,yes,
dischidia acutifolia,1900,1900,1,yes,
dischidia albida,1900,1900,1,,
dischidia albiflora,1884,1918,4,,
dischidia bengalensis,1890,1965,4,,
dischidia cochleata,1889,1965,8,,
dischidia complex,1933,1933,1,,
dischidia hirsuta,1889,2013,6,,
dischidia major,1822,2011,24,yes,yes
dischidia nummularia,1884,2012,25,yes,yes
dischidia singaporensis,1908,1908,1,,
dissochaeta annulata,1889,2011,6,,
dissochaeta celebica,1887,2013,12,yes,
dissochaeta gracilis,1884,2010,12,yes,
dissochaeta pallida,1884,2012,13,,
dissochaeta punctulata,1884,2010,11,,
dolichandrone spathacea,1891,2011,20,yes,
donax canniformis,1883,2008,9,yes,
dracaena brachystachys,1899,2011,2,,
dracaena cantleyi,1822,2010,17,yes,
dracaena elliptica,1836,2008,6,,
dracaena granulata,1880,1902,4,yes,
dracaena maingayi,1885,2007,15,yes,
dracaena porteri,1880,2010,14,yes,yes
dracaena singapurensis,1892,2010,4,,
dracaena umbratica,1836,2012,8,,
drynaria quercifolia,1822,2012,16,yes,yes
drynaria sparsisora,1862,2009,6,yes,yes
drypetes crassipes,1894,2008,2,,
drypetes laevis,2010,2010,1,,
drypetes longifolia,2003,2003,1,,
drypetes pendula,1894,2009,8,yes,
durio griffithii,1949,2005,3,yes,
durio singaporensis,1953,2008,6,yes,
dyera costulata,1882,2003,14,yes,yes
dysoxylum acutangulum,1892,2008,2,,
dysoxylum alliaceum,1890,2009,7,,
dysoxylum carolinae,1937,1938,2,,
dysoxylum cauliflorum,1885,2011,27,yes,
dysoxylum cyrtobotryum,1893,1996,4,,
dysoxylum densiflorum,1897,1993,2,,
dysoxylum excelsum,1889,2010,7,,
dysoxylum flavescens,1884,1999,7,,
dysoxylum grande,1958,2007,2,,
echinochloa picta,1883,1883,1,,
elaeocarpus acmosepalus,1981,2013,7,yes,
elaeocarpus ferrugineus,1824,2010,25,yes,yes
elaeocarpus floribundus,1822,2008,10,,
elaeocarpus griffithii,1822,2013,14,,
elaeocarpus macrocerus,1893,1961,2,,
elaeocarpus mastersii,1881,2011,41,yes,yes
elaeocarpus nitidus,1890,2011,18,,
elaeocarpus obtusus subsp. apiculatus,1893,2010,12,yes,
elaeocarpus palembanicus,1884,2011,7,yes,
elaeocarpus pedunculatus,1822,2004,24,yes,yes
elaeocarpus petiolatus,1838,2013,37,yes,yes
elaeocarpus polystachyus,1822,2009,26,yes,
elaeocarpus salicifolius,1881,2013,16,yes,
elaeocarpus stipularis,1881,2009,28,yes,
elaphoglossum amblyphyllum,1893,1907,2,,
eleiodoxa conferta,1891,2012,8,yes,
eleocharis dulcis,1879,2002,10,,yes
eleocharis spiralis,1924,1924,1,,yes
elettariopsis curtisii,1890,1995,9,yes,
ellipanthus tomentosus,1893,2012,12,yes,
ellipeia cuneifolia,1893,2009,2,,
elytranthe albida,1896,1896,1,,
elytranthe arnottiana,1896,1951,2,,
embelia canescens,1889,2011,18,yes,
embelia lampanii,1884,1992,13,,yes
embelia ribes,1838,2010,32,yes,yes
endiandra maingayi,1933,2008,2,,
endocomia canarioides,1894,2009,3,yes,
endospermum diadenum,1893,2010,11,yes,
engelhardtia serrata,1889,1900,3,,
enkleia malaccensis,1993,2011,6,yes,
entada rheedii,1890,2004,3,,
entada spiralis,1884,2017,30,yes,yes
epigynum ridleyi,1982,1982,1,,
epipremnum giganteum,1822,2012,12,yes,yes
epipremnum pinnatum,1822,2013,5,yes,
eragrostis atrovirens,1906,2011,12,yes,yes
eragrostis cumingii,1884,2001,9,,
eragrostis gangetica,1951,1951,1,,
eragrostis montana,1884,2011,4,,yes
eragrostis unioloides,1838,2012,20,,yes
eria javanica,1891,1893,2,,
eria longirepens,1890,1891,2,,
eria neglecta,1890,1891,2,,
eria nutans,1884,1911,4,,
eria robusta,1889,1894,3,,
eriachne pallescens,1886,2004,12,,
eriocaulon truncatum,1890,2013,9,,
eriocaulon wildenovianum,1853,2004,15,,
erycibe festiva,1885,2010,3,,
erycibe griffithii,1993,1993,1,yes,
erycibe leucoxyloides,1889,2009,13,yes,
erycibe maingayi,1937,1973,5,,
erycibe malaccensis,1888,2010,8,,
erycibe tomentosa,1881,2012,36,yes,yes
erythropalum scandens,1890,2013,19,yes,
erythroxylum cuneatum,1889,2006,19,yes,yes
etlingera maingayi,1891,2005,5,yes,
etlingera punicea,1891,1981,2,yes,
eulophia spectabilis,1889,2011,11,,
euonymus javanicus,1884,1992,4,,
euphorbia atoto,1893,2004,11,,
eurya acuminata,1917,2012,19,yes,yes
eurycoma longifolia,1822,2016,25,yes,
eustachys tenera,1898,1964,2,,
euthemis leucocarpa,1823,1894,2,,
euthemis minor,1822,1822,1,,
evolvulus alsinoides,1890,1891,2,,yes
excoecaria agallocha,1890,2003,24,yes,yes
fagraea auriculata,1822,2013,15,,
fagraea fragrans,1884,2016,28,yes,yes
fagraea ridleyi,1889,1965,10,,
fagraea splendens,1822,2012,8,,
fernandoa adenophylla,1882,1995,2,,
fibraurea tinctoria,1889,2009,33,yes,yes
ficus acamptophylla,1906,1906,1,,
ficus annulata,1892,1965,5,,
ficus apiocarpa,1886,2011,15,yes,
ficus aurata,1884,2010,31,yes,
ficus binnendijkii,1891,2012,7,yes,
ficus botryocarpa,1890,1957,6,,
ficus bracteata,1822,1962,6,,
ficus callophylla,1904,1904,1,,
ficus caulocarpa,1932,2008,9,yes,yes
ficus chartacea,1884,2013,25,yes,
ficus consociata,1878,2010,28,yes,
ficus crassiramea,1886,2008,7,yes,
ficus delosyce,1940,2013,4,yes,
ficus deltoidea,1885,2006,10,yes,
ficus dubia,1892,1959,9,,
ficus excavata,2011,2011,1,,
ficus fistulosa,1890,2016,22,yes,yes
ficus glandulifera,1891,2012,12,yes,
ficus globosa,1889,2012,26,yes,
ficus grossularioides,1884,2011,29,yes,yes
ficus heteropleura,1884,2004,19,yes,yes
ficus kerkhovenii,1890,2007,15,yes,
ficus laevis,1885,1998,5,yes,
ficus lamponga,1935,1994,5,,
ficus microcarpa,1892,2011,30,yes,yes
ficus microsyce,1884,2012,18,yes,
ficus obscura var. borneensis,1885,2013,16,yes,
ficus pallescens,1889,1978,11,,
ficus pellucidopunctata,1940,2012,2,,
ficus pisocarpa,1836,1981,3,yes,
ficus punctata,1830,2010,19,yes,yes
ficus recurva var. ribesioides,1822,2012,13,yes,
ficus retusa,1876,1995,2,yes,
ficus sagittata,1885,2012,18,yes,
ficus schwarzii,2010,2010,1,yes,
ficus scortechinii,1893,2011,6,,
ficus sinuata,1934,2012,10,yes,
ficus spathulifolia,1998,1998,1,,
ficus subgelderi,1890,1990,7,yes,
ficus sumatrana,1891,1982,11,,
ficus sundaica,1992,2012,3,yes,
ficus superba,1973,2016,14,yes,
ficus trichocarpa,1932,2010,8,yes,
ficus variegata,1890,2003,6,yes,yes
ficus vasculosa,1879,2011,20,yes,
ficus villosa,1894,2013,14,yes,
ficus virens,1889,2003,6,yes,
ficus xylophylla,1822,1940,6,yes,
fimbristylis complanata,1889,2011,6,,yes
fimbristylis cymosa,1890,2013,13,,yes
fimbristylis dura,1892,2001,3,,
fimbristylis ferruginea,1889,2005,15,,yes
fimbristylis leptoclada,1890,1949,6,,yes
fimbristylis nutans,1893,1903,2,,
fimbristylis pauciflora,1832,2005,12,,
fimbristylis polytrichoides,1981,1981,1,,
finlaysonia obovata,1900,2012,13,yes,
fissistigma fulgens,1822,2010,16,yes,
fissistigma lanuginosum,1822,2010,11,,
fissistigma latifolium var. ovoideum,1889,2010,17,yes,
fissistigma manubriatum,1822,2011,13,,
flacourtia rukam,1890,2013,28,yes,
flagellaria indica,1884,2012,20,yes,yes
floscopa scandens,1886,1904,3,,yes
freycinetia angustifolia,1889,2012,11,,
freycinetia confusa,1894,1936,2,,
freycinetia corneri,1943,1943,1,,
freycinetia javanica,1890,2012,8,,
freycinetia sumatrana,1899,2012,6,,yes
friesodielsia biglandulosa,1896,2010,10,,
friesodielsia borneensis,1894,2013,8,,
friesodielsia excisa,1894,2000,3,,
friesodielsia glauca,1932,2013,8,,
friesodielsia latifolia,1890,2010,14,yes,yes
gaertnera grisea,1822,2010,12,yes,
gaertnera obesa,1822,2012,19,yes,
gaertnera vaginans,1822,1822,1,,
gaertnera viminea,1822,1992,4,yes,
gahnia tristis,1883,2012,14,,yes
galearia fulva,1836,2013,35,yes,
galearia maingayi,1936,1978,4,yes,
galeola nudifolia,1822,2007,7,,
garcinia atroviridis,1900,2011,4,yes,
garcinia bancana,1889,1895,4,,
garcinia forbesii,1892,2012,20,yes,
garcinia griffithii,1890,2012,24,yes,
garcinia hombroniana,1841,2007,17,yes,
garcinia maingayi,1992,2003,2,,
garcinia nervosa,1894,2012,8,,
garcinia nigrolineata,1890,2010,16,,
garcinia parvifolia,1822,2012,29,yes,yes
garcinia rostrata,1890,2010,23,yes,
garcinia scortechinii,1892,2010,16,yes,
gardenia griffithii,1888,1891,3,,
gardenia subcarinata,1889,2010,11,yes,
gardenia tubifera,1836,1938,7,,
gastrodia javanica,1889,2011,7,,
genianthus maingayi,1867,1887,3,,
geophila pilosa,1890,1917,3,,
geophila repens,1997,2011,4,yes,
gironniera nervosa,1881,2012,23,yes,yes
gironniera parvifolia,1892,2012,24,yes,
gironniera subaequalis,1884,2009,14,yes,
gleichenia truncata,1985,2017,4,yes,
globba leucantha,1884,2012,23,yes,
globba pendula,1822,1950,6,yes,
glochidion borneense,1881,2012,12,,
glochidion glomerulatum,1897,1897,1,,
glochidion kunstlerianum,1961,1961,1,,
glochidion littorale,1884,2010,12,,
glochidion lutescens,1884,2013,25,yes,
glochidion obscurum,1900,2017,4,,
glochidion rubrum,1886,2011,17,,
glochidion sericeum,1884,1982,7,,
glochidion singaporense,1884,2010,13,,
glochidion superbum,1881,2013,27,yes,yes
glochidion zeylanicum var. arborescens,1861,2007,20,,
gluta wallichii,1884,2010,26,yes,yes
glycosmis chlorosperma,1884,2012,21,yes,
glyptopetalum quadrangulare,1892,1892,1,,
gmelina asiatica,1861,1996,5,,yes
gmelina elliptica,1862,2012,13,,
gmelina philippensis,1892,1924,3,,
gnetum gnemon,1884,2012,20,yes,
gnetum gnemonoides,1887,2013,10,,
gnetum latifolium var. funiculare,1890,2010,7,,
gnetum macrostachyum,1885,2013,15,yes,
gnetum microcarpum,1888,2012,20,yes,
gomphandra quadrifida var. ovalifolia,1889,2012,30,yes,
goniophlebium percussum,1884,2012,9,yes,
goniothalamus macrophyllus,1891,2010,11,,
goniothalamus malayanus,1890,2012,8,,
goniothalamus ridleyi,1892,1962,11,yes,
goniothalamus tapis,1894,2012,9,yes,
gonocaryum gracile,1884,2013,14,yes,
gonystylus affinis,2007,2007,1,,
gonystylus confusus,1894,2013,17,yes,
gonystylus maingayi,1900,1961,4,,
gordonia multinervis,1939,2010,5,yes,
gordonia penangensis,1892,2008,7,yes,
gordonia singaporeana,1822,2008,14,yes,
grammatophyllum speciosum,1890,1918,2,,
grenacheria amentacea,2008,2010,3,yes,
grenacheria fulva,1982,1982,1,,
grewia laevigata,1883,2013,23,yes,
guettarda speciosa,1822,2012,17,,
guioa pleuropteris,1867,2011,27,yes,
guioa pubescens,1884,2011,33,yes,
gymnacranthera bancana,1822,1993,10,yes,
gymnacranthera farquhariana,1822,2010,20,yes,
gymnacranthera forbesii,1884,2010,22,yes,
gymnanthera oblonga,1983,2012,9,,yes
gymnosiphon aphyllus,1893,1893,1,,
gynochthodes coriacea,1981,2011,4,yes,
gynochthodes sublanceolata,1822,2013,42,yes,yes
gynotroches axillaris,1838,2013,44,yes,yes
gynura procumbens,1890,1993,7,,
habenaria rhodocheila,1904,1904,1,,
hackelochloa granularis,1949,1949,1,,
hancea penangensis,1893,2010,8,yes,
hedyotis auricularia,1890,1955,5,,yes
hedyotis capitellata,1992,1993,2,yes,
hedyotis pinifolia,1950,2003,11,yes,
helicia excelsa,1953,2010,5,,
helixanthera coccinea,1899,1899,1,,
heritiera borneensis,1937,2004,4,yes,
heritiera elata,1894,2010,7,yes,
heritiera littoralis,1886,2012,29,yes,
heritiera simplicifolia,1894,2005,8,yes,
hernandia nymphaeifolia,2003,2003,1,,
hetaeria nitida,1895,1897,3,,
hetaeria obliqua,1890,2012,6,,
heterogonium sagenioides,1894,1954,5,yes,
heteropogon contortus,1936,1957,4,,yes
hiptage sericea,1891,1894,3,,
histiopteris incisa,1895,1994,5,,
homalium grandiflorum,1894,2004,11,yes,
homalomena deltoidea,1889,2003,2,,
homalomena griffithii,1887,1993,11,,
homalomena humilis var. pumila,1889,1981,10,,
homalomena pendula,1890,1890,1,,
homalomena rostrata,1889,1965,8,,
hopea dryobalanoides,1918,1918,1,,
hopea ferruginea,2005,2009,3,yes,
hopea griffithii,1937,2010,10,yes,
hopea mengarawan,1893,2010,13,yes,
hopea sangal,1894,2009,6,yes,
hornstedtia conica,1900,2010,3,,
hornstedtia leonurus,1889,2010,9,yes,
hornstedtia scyphifera,1884,2011,12,yes,
horsfieldia brachiata,1893,2006,5,,
horsfieldia crassifolia,1822,2010,26,yes,
horsfieldia grandis,1881,2005,5,yes,
horsfieldia irya,1897,1992,10,,
horsfieldia polyspherula,1886,2013,25,yes,
horsfieldia punctatifolia,1953,2010,7,yes,
horsfieldia sucosa,1884,2009,17,yes,
horsfieldia superba,1899,2004,8,yes,
horsfieldia wallichii,1884,2009,8,yes,
hoya caudata,2013,2017,2,,
hoya coriacea,1893,1897,2,,
hoya coronaria,1889,1919,6,yes,
hoya diversifolia,1889,2010,16,,
hoya finlaysonii,1836,1836,1,,
hoya lacunosa,1889,1978,7,,
hoya latifolia,1884,2012,17,yes,
hoya obtusifolia,1894,1914,3,yes,
hoya revoluta,1822,1906,2,,
hoya scortechinii,2006,2013,2,,
hoya verticillata,1889,2012,32,yes,yes
hoya wallichii,1822,1894,5,,
hullettia dumosa,1959,1959,1,,
huperzia carinata,1836,2010,8,,
huperzia nummulariifolia,1889,1914,2,,
huperzia phlegmaria,1889,2012,8,yes,
huperzia squarrosa,1887,1924,5,,
hydnophytum formicarum,1889,2006,11,yes,
hydrocotyle sibthorpioides,1889,2011,5,,yes
hydrostemma kunstleri,1892,2009,5,,
hylophila mollis,1822,1996,10,,
hymenachne amplexicaulis,2002,2004,2,,yes
hymenophyllum acanthoides,1903,1924,7,,
hymenophyllum denticulatum,1888,1908,6,,
hymenophyllum polyanthos,1888,1926,10,,
hymenophyllum serrulatum,1890,1910,3,,
hypobathrum coniferum,1897,1899,2,,
hypolytrum nemorum var. proliferum,1861,2012,23,yes,yes
hypserpa nitida,1894,2012,9,yes,
iguanura geonomiformis,1850,2012,10,yes,
ilex cymosa,1884,2012,28,yes,yes
ilex latifolia,1884,2010,15,,
ilex maingayi,1885,1885,1,,
illigera trifoliata,1900,1900,1,,
imperata conferta,1838,2004,6,,yes
indigofera zollingeriana,1949,2011,4,,
indorouchera griffithiana,1830,2012,30,yes,yes
intsia bijuga,1822,2011,28,,
intsia palembanica,1992,2009,3,,
iodes cirrhosa,1992,1992,1,,
iodes ovalis,1893,2012,17,yes,
iodes velutina,1891,2005,3,yes,yes
ipomoea littoralis,1909,1956,3,,yes
ipomoea marginata,1894,1998,4,,yes
ipomoea mauritiana,1885,2011,7,yes,yes
ipomoea obscura,1953,2001,4,,yes
ipomoea pes-caprae,1890,2012,19,yes,yes
ipomoea pes-tigridis,1997,2013,7,yes,yes
ipomoea violacea,1950,2012,4,yes,yes
irvingia malayana,1892,2010,12,yes,
isachne kunthiana,1889,2008,10,,yes
isachne minutula,1891,2004,8,,yes
ischaemum magnum,1878,2012,18,,yes
ischaemum muticum,1822,2011,18,yes,yes
ixonanthes icosandra,1884,2012,18,yes,
ixonanthes reticulata,1822,2010,21,yes,yes
ixora concinna,1822,1822,1,,
ixora congesta,1822,2012,17,yes,yes
ixora grandifolia,1822,2007,4,,
ixora lobbii,1850,2008,6,yes,
ixora pendula,1832,2012,15,yes,
ixora umbellata,1950,2010,3,,
jackiopsis ornata,1822,2005,4,,
jasminum elongatum,1850,2013,28,yes,
jasminum griffithii,1893,1900,3,,
jasminum longipetalum,1900,1900,1,,
justicia quadrifaria,1889,1889,1,,
justicia vasculosa,1889,1995,10,,
kadsura scandens,1894,2013,7,yes,
kandelia candel,1998,2012,3,,
kibara coriacea,1884,2009,3,,
kibatalia maingayi,1956,2013,6,yes,
kleinhovia hospita,1822,1961,3,yes,
knema communis,1894,2013,16,yes,
knema conferta,1867,2012,17,yes,
knema curtisii,1891,2010,6,yes,
knema furfuracea,1884,2003,6,yes,
knema glaucescens,1954,2010,6,yes,
knema globularia,1822,2011,15,yes,
knema hookeriana,1881,2010,16,yes,
knema intermedia,1884,2010,20,yes,
knema latericia,1881,2013,30,yes,
knema laurina,1884,2012,18,yes,
knema malayana,1884,2013,19,yes,
knema rubens,1893,1955,3,,
koilodepas longifolium,1884,2010,19,yes,
kokoona reflexa,1940,2010,5,yes,
koompassia malaccensis,1892,2011,15,yes,
kopsia singapurensis,1884,2012,27,yes,
korthalsia echinometra,1889,2012,12,yes,
korthalsia flagellaris,1996,1996,1,yes,
korthalsia laciniosa,1894,1954,4,,
korthalsia rigida,1894,1999,11,yes,
korthalsia rostrata,1892,1999,8,yes,
korthalsia scortechinii,1890,1956,4,,
kunstleria ridleyi,1894,2012,12,yes,
labisia pumila,1822,2013,25,yes,
lasia spinosa,1822,2009,4,yes,
lasianthus appressus,1992,2013,2,,
lasianthus attenuatus,1957,2012,11,yes,
lasianthus constrictus,1978,2012,4,,
lasianthus cyanocarpus,1966,2007,5,,
lasianthus ellipticus,1906,2010,4,,
lasianthus griffithii,1982,1982,1,,
lasianthus maingayi,1896,1982,4,,
lasianthus perakensis,1906,1906,1,,
lasianthus ridleyi,1897,2010,10,,
lasianthus stipularis,1887,1906,5,,
lasianthus tomentosus,1889,2010,7,,
lecananthus erubescens,1822,1822,1,yes,
lecanopteris crustacea,1894,1908,2,yes,
lecanopteris sinuosa,1877,2004,8,yes,yes
lecanorchis malaccensis,1882,2010,6,,
leea aequata,1889,1997,3,,
leea angulata,1899,2010,9,yes,
leea indica,1883,2010,22,yes,yes
leea rubra,1893,2016,7,yes,
lemna tenera,1899,1949,3,,yes
lepionurus sylvestris,1885,2013,11,yes,
lepironia articulata,1889,1900,3,yes,
lepisanthes fruticosa,1940,2008,2,,
lepisanthes rubiginosa,1884,2009,11,yes,yes
lepisanthes senegalensis,1996,1997,2,,
lepisorus longifolius,1892,1925,4,,
lepturus repens,1929,2003,6,,yes
leuconotis griffithii,1867,2013,23,yes,
licania splendens,1884,2005,22,yes,yes
licuala ferruginea,1837,2005,13,yes,
licuala spinosa,1884,2016,15,yes,
licuala triphylla,1894,1900,2,,
lijndenia laurina,1970,2010,4,,
limacia oblonga,2003,2003,1,,
limacia scandens,1822,2012,26,yes,
lindera lucida,1876,2010,29,yes,
lindernia anagallis,1890,1955,5,,yes
lindsaea borneensis,1889,1909,3,,
lindsaea cultrata,1822,2010,2,yes,
lindsaea divergens,1892,2010,3,yes,
lindsaea doryphora,1889,1891,2,,
lindsaea ensifolia,1836,2013,17,yes,yes
lindsaea orbiculata,1822,1829,2,,
lindsaea parallelogramma,1822,1898,6,,
lindsaea parasitica,1829,2012,8,,
lindsaea repens var. pectinata,1893,1893,1,,
lindsaea walkerae,1892,1948,5,,
linostoma pauciflorum,1843,2011,17,,
liparis barbata,1933,1933,1,yes,
liparis elegans,1889,1891,3,,
liparis ferruginea,1889,1899,5,yes,
liparis tricallosa,1890,1890,1,,
lipocarpha chinensis,1866,1949,7,,yes
lithocarpus bennettii,1892,2012,11,yes,
lithocarpus cantleyanus,1884,2003,10,yes,
lithocarpus conocarpus,1881,2010,22,yes,
lithocarpus elegans,1836,2011,12,yes,
lithocarpus encleisocarpus,1889,2012,13,yes,
lithocarpus ewyckii,1884,2011,16,yes,
lithocarpus hystrix,1884,1997,9,,
lithocarpus lucidus,1884,2012,14,yes,
lithocarpus sundaicus,1954,1969,6,,
lithocarpus wallichianus,1889,2011,6,,
litsea accedens,1884,2010,33,yes,
litsea castanea,1936,2010,8,yes,
litsea cordata,1895,2004,3,yes,
litsea costalis,1894,2011,4,,
litsea costata,1983,1983,1,,
litsea elliptica,1884,2012,27,yes,yes
litsea erectinervia,1884,2010,4,,
litsea ferruginea,1894,1940,4,yes,
litsea firma,1894,2014,23,yes,
litsea gracilipes,1954,1970,3,,
litsea grandis,1884,2012,26,yes,
litsea lanceolata,1893,1893,1,,
litsea lancifolia,1884,2011,9,yes,
litsea machilifolia,1953,2010,10,,
litsea myristicifolia,1831,2005,10,,
litsea resinosa,2003,2012,3,,
litsea umbellata,2002,2013,4,,
lobelia zeylanica,1890,2013,5,,yes
loeseneriella macrantha,1890,2012,6,,
lomariopsis lineata,1900,2010,4,,
lophatherum gracile,1890,2010,10,,yes
lophopetalum multinervium,1893,2011,4,,
lophopetalum pallidum,2009,2009,1,,
lophopetalum wightianum,1892,2010,8,yes,
lumnitzera littorea,1885,2011,37,yes,
lumnitzera racemosa,1941,2012,16,yes,
luvunga crassifolia,1893,2010,11,yes,
lycopodiella cernua,1830,2011,22,yes,yes
lygodium flexuosum,1884,2010,11,yes,yes
lygodium longifolium,1822,2010,20,yes,
lygodium microphyllum,1838,2013,27,yes,yes
lygodium salicifolium,1841,2009,4,yes,yes
macaranga bancana,1884,2013,21,yes,yes
macaranga conifera,1884,2012,19,yes,yes
macaranga gigantea,1884,2003,10,yes,yes
macaranga griffithiana,1884,2013,12,yes,
macaranga heynei,1881,2003,24,yes,yes
macaranga hullettii,1884,2002,5,yes,
macaranga hypoleuca,1881,2002,14,yes,yes
macaranga lowii,1892,2010,13,yes,
macaranga puncticulata,1932,1932,1,,
macaranga recurvata,1890,2010,12,yes,
macaranga trichocarpa,1884,2005,27,yes,
machaerina rubiginosa,1893,1900,3,,
maclurodendron porteri,1884,2003,13,yes,
macodes petola,1894,1894,1,,
macrolenes echinulata,1831,2010,21,,
macrosolen cochinchinensis,1881,2011,35,yes,yes
macrosolen papillosus,1891,1891,1,,
macrosolen retusus,1881,2012,22,yes,yes
madhuca decipiens,1894,2011,4,,
madhuca kingiana,1894,2010,15,yes,
madhuca korthalsii,2008,2008,1,,
madhuca malaccensis,1891,2009,9,,
madhuca motleyana,1894,1900,2,,
madhuca sericea,1884,1953,3,,
madhuca sessilis,1893,1893,1,,
maesa ramentacea,1837,2012,36,yes,yes
magnolia elegans,1892,2009,7,yes,
magnolia maingayi,1900,1975,5,yes,
magnolia singapurensis,1889,2010,21,yes,
magnolia villosa,1939,2003,10,,
mallotus macrostachyus,1884,1892,3,,
mallotus paniculatus,1838,2013,22,yes,yes
mangifera caesia,1885,2012,9,yes,
mangifera foetida,1890,2012,10,yes,
mangifera gracilipes,2009,2009,1,,
mangifera griffithii,1893,2003,4,yes,
mangifera lagenifera,1884,1995,2,,
mangifera magnifica,1940,2003,2,yes,
mangifera odorata,1902,2011,6,yes,
mangifera paludosa,1933,1933,1,,
mangifera quadrifida,1938,2004,4,yes,
mangifera subsessilifolia,1931,2014,4,,
mapania bancana,1837,1970,9,,
mapania cuspidata,1884,2013,10,yes,
mapania enodis,1889,1894,2,,
mapania kurzii,1890,2005,7,,
mapania longiflora,1941,1941,1,,
mapania lorea,1890,1918,2,,
mapania palustris,1889,1981,6,,
mapania squamata,1894,1903,3,yes,
mapania wallichii,1837,1943,4,,
maranthes corymbosa,1886,2007,14,yes,
margaritaria indica,2012,2012,1,yes,
marsdenia maingayi,1904,2012,2,yes,
mastixia pentandra,1970,1970,1,,
mastixia trichotoma var. maingayi,1867,2008,6,,
matthaea sancta,1822,2012,19,yes,
maytenus emarginata,1992,1992,1,,
medinilla crassifolia,1889,1909,5,,
megistostigma glabratum,1853,1907,2,,
meiogyne virgata,1885,1995,10,,
melaleuca cajuputi,1955,2012,6,,
melanochyla angustifolia,2004,2004,1,yes,
melanochyla auriculata,1892,1954,4,yes,
melanochyla bracteata,1940,1953,2,,
melanochyla caesia,1940,2008,3,yes,
melastoma malabathricum,1837,2016,32,yes,yes
melicope glabra,1888,2011,17,,
melicope hookeri,1867,2003,9,,
melicope latifolia,1924,2009,2,,
melicope lunu-ankenda,1883,2010,23,yes,
meliosma lanceolata,1884,2008,10,,
meliosma pinnata,1884,2010,14,yes,
meliosma simplicifolia,1853,2012,9,,
melodinus orientalis,1838,1929,3,,
memecylon acuminatum,1892,2010,6,,
memecylon amplexicaule,1884,2010,11,yes,
memecylon caeruleum,1822,2008,9,,
memecylon campanulatum,1938,2010,4,,
memecylon cantleyi,1884,2009,11,yes,
memecylon edule,1831,2017,20,,
memecylon excelsum,1981,1981,1,yes,
memecylon floridum,1894,1940,3,yes,
memecylon fruticosum,2003,2010,3,,
memecylon garcinioides,1893,2010,9,,
memecylon globosum,1895,1895,1,,
memecylon lancifolium,1892,1900,2,,
memecylon lilacinum,1831,2014,20,yes,
memecylon minutiflorum,1898,1963,3,,
memecylon oleifolium,1884,1907,3,,
memecylon ovatum,1898,2011,8,,
memecylon paniculatum,1941,2011,7,yes,
memecylon pseudomegacarpum,1892,2003,14,,
memecylon pubescens,1899,2009,5,,
merope angulata,1893,2003,12,,
merremia hederacea,1890,2011,13,yes,yes
mesophlebion chlamydophorum,1881,2010,14,yes,
mesophlebion crassifolium,1899,2003,4,,
mesophlebion motleyanum,1904,1907,3,yes,
mesua elegans,2001,2003,2,,
mezzettia parviflora,1884,1953,7,,
micrechites serpyllifolius,1994,2012,5,yes,
micrococca mercurialis,1899,2002,6,,yes
microcos blattaefolia,1904,2010,8,yes,
microcos globulifera,1894,1939,3,yes,
