standard name,first detection,last detection,no. detns,expert extant?,chong common?
appendicula uncata,1892,1918,3,,
aquilaria hirta,1890,2009,5,,
aquilaria malaccensis,1894,2012,12,yes,
aquilaria microcarpa,1940,2009,7,yes,
arachnis hookeriana,1891,1950,6,,
aralidium pinnatifidum,1884,2013,7,yes,
archidendron clypearia,1822,2010,35,yes,yes
archidendron contortum,1885,2007,13,yes,
archidendron ellipticum,1884,2006,18,yes,
archidendron globosum,1894,2003,3,,
archidendron jiringa,1822,2003,21,yes,
archidendron microcarpum,1882,2011,21,yes,
ardisia crenata,1885,2012,16,yes,
ardisia elliptica,1841,2010,24,,
ardisia eximia,1892,1892,1,,
ardisia miqueliana,1992,1992,1,,
ardisia purpurea,1894,2012,7,,
ardisia ridleyi,1894,1894,1,,
ardisia sanguinolenta,1890,2011,22,yes,yes
ardisia singaporensis,1890,1893,3,,
ardisia teysmanniana,1884,2010,22,yes,
ardisia tuberculata,1822,2007,11,,
ardisia villosa,1836,1992,2,,
argyreia ridleyi,1890,2012,15,yes,
aristolochia jackii,1893,1893,1,,
artabotrys costatus,1900,2011,6,,
artabotrys crassifolius,1900,2010,5,,
artabotrys maingayi,1977,2010,5,,
artabotrys suaveolens,1884,2013,33,yes,
artabotrys wrayi,1892,2005,8,,
arthrophyllum diversifolium,1950,2017,19,yes,yes
artocarpus anisophyllus,1894,2009,10,yes,
artocarpus elasticus,1891,2011,22,yes,yes
artocarpus fulvicortex,1884,2008,8,yes,
artocarpus gomezianus,1908,1997,6,,
artocarpus hispidus,1891,2011,12,yes,
artocarpus kemando,1892,2009,13,yes,
artocarpus lacucha,1884,2012,19,yes,
artocarpus lanceifolius,1884,2010,15,,
artocarpus lowii,1893,1938,6,yes,
artocarpus nitidus subsp. griffithii,1893,2005,5,,
artocarpus rigidus,1822,2010,15,,
arundina graminifolia,1889,2017,11,yes,yes
arytera littoralis,1884,2004,3,,
aspidopterys concava,1892,2012,7,yes,
asplenium batuense,1906,2010,3,yes,
asplenium longissimum,1829,2010,14,yes,yes
asplenium macrophyllum,1850,1920,7,,
asplenium nidus,1862,2017,16,yes,yes
asplenium nitidum,1822,2012,6,,
asplenium phyllitidis,1891,1952,5,,
asplenium tenerum,1842,2013,4,yes,
athyrium accedens,2010,2012,2,yes,
athyrium bantamense,2012,2012,1,,
austrobuxus nitidus,1892,1935,5,,
avicennia alba,1894,2012,28,yes,yes
avicennia marina,1947,2010,12,yes,
avicennia officinalis,1890,2006,16,yes,yes
avicennia rumphiana,1885,2011,36,yes,yes
baccaurea bracteata,1836,2013,26,,
baccaurea brevipes,1995,1996,2,,
baccaurea macrocarpa,1894,2009,6,,
baccaurea macrophylla,1917,1944,2,yes,
baccaurea maingayi,1936,1970,2,,
baccaurea minor,1894,2005,5,,
baccaurea motleyana,1868,2010,14,yes,
baccaurea parviflora,1885,2012,27,yes,yes
baccaurea polyneura,1884,2010,16,yes,
baccaurea pyriformis,1894,1894,1,,
baccaurea racemosa,1894,2004,3,,
baccaurea reticulata,1894,1995,5,,
baccaurea sumatrana,1894,2011,15,yes,
baratranthus axanthus,1890,1937,3,,
barringtonia asiatica,1822,2017,5,,
barringtonia conoidea,1889,1892,3,,
barringtonia macrostachya,1894,1974,2,,
barringtonia racemosa,1884,2010,15,,
barringtonia reticulata,1890,2011,9,,
bauhinia audax,1982,1982,1,,
bauhinia semibifida,1830,2013,25,yes,
beilschmiedia kunstleri,1894,2010,5,,
beilschmiedia madang,1892,2009,14,yes,
beilschmiedia tonkinensis,2000,2000,1,,
benstonea affinis,1892,2008,5,,
benstonea atrocarpa,1890,2012,7,,
benstonea ornata,1890,2012,11,,
benstonea parva,1889,2012,10,yes,
bhesa paniculata,1884,2013,27,yes,yes
bhesa robusta,1867,2010,11,yes,
biermannia laciniata,1933,1933,1,,
blechnum finlaysonianum,1841,2010,10,yes,
blechnum orientale,1880,2010,20,yes,yes
blechnum serrulatum,1900,1951,3,,
blumea riparia,1884,1900,5,,yes
blumeodendron tokbrai,1882,2011,22,yes,
bolbitis appendiculata,1842,1943,10,yes,
bolbitis heteroclita,1906,1942,6,,
bolbitis sinuata,1880,2012,10,yes,
bolbitis x singaporensis,1882,1968,10,,
bouea macrophylla,1893,2005,12,,
bouea oppositifolia,1880,2010,5,yes,
brackenridgea elegantissima,1884,2010,14,yes,
brackenridgea palustris,1890,1918,4,,
breynia coronata,1958,2011,6,yes,
breynia discigera,1884,2011,10,,
breynia racemosa,1838,2011,27,,yes
breynia vitis-idaea,1951,2015,4,yes,yes
bridelia cinnamomea,1894,1955,3,yes,
bridelia pustulata,1892,2013,13,yes,
bridelia stipularis,1900,2011,13,yes,
bridelia tomentosa,1881,2016,18,yes,yes
bromheadia alticola,1889,2011,4,,
bromheadia borneensis,1894,1894,1,,
bromheadia finlaysoniana,1836,2013,17,yes,yes
bromheadia scirpoidea,1992,1992,1,,
bromheadia truncata,1889,1899,3,,
brownlowia argentata,1894,1894,1,,
brownlowia tersa,1894,2011,17,yes,
brucea javanica,1822,2010,8,yes,
bruguiera cylindrica,1822,2016,38,yes,yes
bruguiera gymnorhiza,1885,2006,28,yes,yes
bruguiera hainesii,2003,2013,7,yes,
bruguiera parviflora,1892,2006,10,yes,
bruguiera sexangula,1884,2012,11,yes,
bryobium hyacinthoides,1892,1892,1,,
bryobium pudicum,1890,1910,2,,
buchanania arborescens,1884,2012,24,yes,yes
buchanania sessilifolia,1822,2013,27,yes,
bulbophyllum acuminatum,1889,1932,6,,
bulbophyllum apodum,1889,1999,5,,
bulbophyllum botryophorum,1890,1932,2,,
bulbophyllum caudatisepalum,1893,1893,1,,
bulbophyllum clandestinum,1889,2007,9,yes,
bulbophyllum concinnum,1889,1930,4,,
bulbophyllum dischidiifolium,1897,1901,2,,
bulbophyllum flabellum-veneris,1889,2004,4,,
bulbophyllum gracillimum,1889,1891,3,,
bulbophyllum limbatum,1840,1840,1,,
bulbophyllum lobbii,1897,1900,2,,
bulbophyllum macranthum,1889,1920,3,yes,
bulbophyllum macrochilum,1890,1897,3,,
bulbophyllum makoyanum,1900,1900,1,,
bulbophyllum maxillare,1890,1894,3,,
bulbophyllum medusae,1890,1893,3,,
bulbophyllum membranaceum,1861,1933,4,yes,
bulbophyllum ovalifolium,1889,1894,4,,
bulbophyllum patens,1889,1894,4,,
bulbophyllum pileatum,1891,1892,2,,
bulbophyllum praetervisum,2014,2014,1,,
bulbophyllum pulchellum,1889,1955,8,yes,
bulbophyllum purpurascens,1889,1904,5,,
bulbophyllum restrepia,1889,1895,2,,
bulbophyllum rugosum,1890,1890,1,,
bulbophyllum singaporeanum,1889,2009,5,,
bulbophyllum striatellum,1953,1953,1,,
bulbophyllum tenuifolium,1894,1894,1,,
bulbophyllum trifolium,1890,1890,1,,
bulbophyllum vaginatum,1822,2013,9,yes,
bulbophyllum vermiculare,1889,1891,3,,
bulbophyllum vesiculosum,1930,1930,1,,
bulbostylis barbata,1878,1959,4,,yes
bulbostylis puberula,1884,2001,7,,yes
burmannia championii,1889,1905,4,,
burmannia coelestis,1889,2008,12,yes,yes
burmannia wallichii,1898,1898,1,,
byttneria maingayi,1884,2010,15,yes,
caesalpinia bonduc,1950,2012,3,yes,
caesalpinia crista,1884,2011,24,yes,
caesalpinia sumatrana,1891,2011,3,yes,
calamus densiflorus,1891,2017,5,yes,
calamus diepenhorstii,1890,2011,8,yes,
calamus erinaceus,1889,2002,8,yes,
calamus insignis,1890,1999,5,yes,
calamus javensis,1894,1999,5,yes,
calamus laevigatus,1890,1999,4,yes,
calamus lobbianus,1889,1992,8,,
calamus luridus,1900,1906,2,,
calamus ornatus,1892,1909,2,yes,
calamus oxleyanus,1890,1999,11,yes,
calamus ridleyanus,1892,1971,4,yes,
calanthe pulchra,1822,1957,9,yes,
callerya dasyphylla,1867,1899,3,yes,
callerya eriantha,1894,2010,8,yes,
callicarpa longifolia,1884,2012,11,yes,
callostylis pulchella,1889,1950,6,yes,
calophyllum biflorum,1953,1953,1,,
calophyllum dispar,1940,1976,3,yes,
calophyllum ferrugineum,1822,2012,25,yes,yes
calophyllum inophyllum,1925,2016,21,yes,
calophyllum lanigerum var. austrocoriaceum,1976,2012,3,yes,
calophyllum macrocarpum,2008,2009,2,yes,
calophyllum pulcherrimum,1822,2015,46,yes,yes
calophyllum rigidum,1800,1917,3,,
calophyllum rubiginosum,1894,2009,7,yes,
calophyllum rufigemmatum,1894,2010,14,,
calophyllum soulattri,2008,2013,2,yes,
calophyllum sundaicum,1822,1994,8,,
calophyllum tetrapterum,1904,2011,24,yes,
calophyllum teysmannii,1889,2012,13,yes,
calophyllum wallichianum var. incrassatum,1893,2012,13,yes,
campnosperma auriculatum,1880,2016,19,yes,yes
campnosperma squamatum,1880,2012,31,yes,yes
campylospermum serratum,1822,2005,28,yes,yes
canarium grandifolium,1884,1900,2,yes,
canarium littorale,1882,2010,21,yes,yes
canarium patentinervium,1884,2010,14,yes,
canarium pilosum,1884,2010,17,yes,
canavalia cathartica,1884,2012,18,yes,yes
canavalia rosea,1889,2007,11,,yes
cansjera rheedii,1943,2010,10,yes,
canthium confertum,1889,2012,34,yes,
canthium glabrum,1884,2012,14,yes,
canthium horridum,1884,2008,7,yes,
canthium molle,1884,2012,8,yes,
capparis micracantha subsp. korthalsiana,1891,2007,6,,
carallia brachiata,1884,2013,19,yes,
carex cryptostachys,1891,2005,2,,
caryota mitis,1889,2012,12,yes,yes
casearia capitellata,1892,2011,11,,
